clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_branch_count,clone_multilineage_score,clone_fate_diversification_index,clone_success_failure_split,clone_state_transition_entropy,early_to_late_fate_dispersion,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure,two_phase_condensation_plus_entropy,two_phase_condensation_plus_divergence,uncertainty_plus_teacher_bias,local_alignment_exposure
1311,2,2.5,2.5,0.0,Neutro,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2.5,2,-1.025890426691739,-3.205337707233943,-1.143520541071907,0.9467127008918992,0.5849929749965668,1.0623406133742426,3.135480727610364,0.2668941278695169,0.30074999999999996,0.55975,0.258,0.9467127008918992
1322,2,2.5,2.5,0.0,Unk_2,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2.5,2,-0.7739471740102353,-1.9874516595027263,-1.3380730366711777,0.9681334697425246,0.7808958292007446,1.3865234541887952,2.4990339264156383,0.8457266440113242,0.5587500000000001,0.60175,0.6112500000000001,0.9681334697425246
1332,2,2.5,2.5,0.0,Unk_1,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-0.4756365455858703,-1.3717774984169173,-0.6607149380805912,0.9723720075393634,0.8032939732074738,1.672404948236641,0.8319530454463634,0.2518112201849437,0.6779999999999999,0.4875,0.39025000000000004,0.9723720075393634
1340,2,2.5,2.5,0.0,Unk_2,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2.5,2,-0.7542402262154146,-1.727210472837673,-3.1762921366166843,0.9590019571183992,0.7964633405208588,1.3884155444422712,0.9363104396670003,0.08136683305668416,0.57325,0.39225,0.48975,0.9590019571183992
1350,2,2.5,2.5,0.0,Baso/Eos,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-0.4355153016427903,-3.144986282129425,-0.4355153016427903,0.9342411972096305,0.5476843416690826,1.4854819801646595,3.103055738546703,-0.05490335413421653,0.52925,0.80475,0.06825,0.9342411972096305
1352,3,2.5,5.0,2.5,MPP,0.0,0.0,1,1,0.0,,0.9182958340516042,1.0,2,2.5,3,-1.3606538179455299,-2.58676936390852,-1.8019842245432056,0.32520213001511505,0.9044608076413473,0.9314205150844703,2.683631658282943,0.21085182519583076,0.5335,0.6535,0.4795,0.9756063900453451
1360,2,2.5,2.5,0.0,Lym,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-1.5126235253233489,-4.163522245602844,-1.6750963013921245,0.7778563250996482,0.5599919557571411,0.7351543434962671,3.076151350759373,-0.4026526293153367,0.12575,0.3805,0.04125,0.7778563250996482
1386,3,2.5,2.5,0.0,Lym,0.0,0.0,1,1,0.0,,0.0,0.0,3,2.5,3,-0.8603024215520781,-2.8794636996237184,-0.8603024215520781,0.9737198292840833,0.6709568699200948,1.5185616932276789,2.1574404942715257,-0.07339455935793332,0.425,0.4555,0.19933333333333333,0.9737198292840833
1398,2,2.5,2.5,0.0,MPP/GMP,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-0.8298610240169481,-1.8223592633199415,-1.227050699095384,0.9270068260885126,0.8125354051589966,1.2926726361680037,2.7343035024772417,0.9019920699892876,0.556,0.5865,0.65325,0.9270068260885126
1429,2,5.0,5.0,0.0,Unk_2,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-1.0355051499259615,-3.9207403532199763,-1.3582490793295827,0.0,1.0,0.9974665037507078,3.9207403532199763,0.0,0.6247499999999999,0.66675,0.5425,0.0
