clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_branch_count,clone_multilineage_score,clone_fate_diversification_index,clone_success_failure_split,clone_state_transition_entropy,early_to_late_fate_dispersion,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure,two_phase_condensation_plus_entropy,two_phase_condensation_plus_divergence,uncertainty_plus_teacher_bias,local_alignment_exposure
4026,2,2.0,2.0,0.0,Lymphoid,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.1017162122893644,-4.445525723795809,-0.1017162122893644,0.879620129960166,0.6169642508029938,8.556866710738305,3.8647060990966997,0.0759269540109151,0.6728333333333334,0.6436666666666666,0.4103333333333333,0.879620129960166
4048,2,4.0,6.0,2.0,Erythroid,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2,2,-0.7686647138993491,-3.965332867357719,-0.7686647138993491,0.48105980887013766,0.460114776603176,8.279190048692554,3.9734834575192046,0.31439732802982945,0.44758333333333333,0.532,0.3455,0.48105980887013766
4050,2,2.0,2.0,0.0,Baso,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-1.3290066974561312,-3.7901533437909762,-1.3290066974561312,0.9954259820349851,0.7420831620693207,2.691855801586959,3.825885377041376,0.6615957453100564,0.5653333333333334,0.3865,0.652,0.9954259820349851
4086,2,6.0,6.0,0.0,Meg,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.29992565567173607,-3.9077728757669665,-0.29992565567173607,0.0,0.2626495351628339,4.689088506951249,3.9077728757669665,0.0,0.4656666666666667,0.5996666666666667,0.18466666666666667,0.0
4133,2,4.0,6.0,2.0,Neutrophil,0.0,0.0,1,1,0.0,,0.0,0.0,1,2,2,-1.1096283422002806,-4.391659846981896,-1.1096283422002806,0.490151766481072,0.4802662725367087,14.961520243791604,4.697092597871887,0.448859450932662,0.4480833333333334,0.5153333333333334,0.454,0.490151766481072
4141,3,4.0,6.0,2.0,Monocyte,0.0,0.0,1,1,0.0,,0.9999999999972693,1.0,1,2,3,-0.8204263026074141,-5.233904814007743,-0.8204263026074141,0.6622987292718013,0.5447601275389683,4.332922751797902,5.483239467486786,0.5685193704677587,0.5128333333333334,0.697111111111111,0.49700000000000005,0.6622987292718013
4169,2,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2,2,-1.8673710522232219,-3.8926131588056423,-1.8673710522232219,0.4337710088249736,0.47614151190896215,12.436089945874409,4.077131926916933,0.4506742900721961,0.43041666666666667,0.4525,0.44766666666666666,0.4337710088249736
4204,2,6.0,6.0,0.0,Lymphoid,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.4033232033252716,-3.878515569910162,-0.4033232033252716,0.0,0.2626495351628339,11.159676579145156,3.878515569910162,0.0,0.4278333333333334,0.538,0.18466666666666667,0.0
4260,2,2.0,2.0,0.0,Baso,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.9325073446440677,-3.6328380874959123,-0.9325073446440677,0.9888956858898441,0.7372681498527527,3.3584357065954116,3.529922275334866,0.586618809442185,0.6253333333333333,0.38466666666666666,0.6031666666666666,0.9888956858898441
4304,2,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2,2,-1.7588293102244579,-4.828772221874569,-1.7588293102244579,0.47132759520626727,0.5115984077372092,2.3214346636732905,5.714072859005984,0.43188847419200416,0.44533333333333336,0.49466666666666664,0.7416666666666667,0.9426551904125345
