stage,stage_num,cell_type,devvcell_system,perturbation,rescuer_perturbation,source_response_norm,rescuer_response_norm,optimal_rescuer_dose,minimal_rescue_cost,rescue_fraction,source_transfer_confidence,rescuer_transfer_confidence,response_recovery_class,recovery_cost,off_manifold_score
Theiler stage 17,17.0,splanchnic mesodermal cell,mesoderm,KO_TBX6,RA_hGas_120h,0.6010636272893303,0.7147467486010834,0.09108557695184478,0.5975274619800135,0.005883179664795457,0.4401303899048123,0.4401303899048123,reversible_response,1.151160137092637,1.151160137092637
Theiler stage 21,21.0,Cajal-Retzius cell,neural,KO_PAX3,RA_hGas_120h,0.598422841165384,1.041980366242334,0.028812970768806206,0.5976692591474844,0.001259280171244992,0.6416359721327767,0.6416359721327767,reversible_response,1.0684408017574791,1.0684408017574791
Theiler stage 16,16.0,myelinating Schwann cell,neural,KO_PAX3,RA_hGas_120h,0.5985561750496776,1.042212528653311,0.02881297076880621,0.5978024251270613,0.001259280171245103,0.6417789342835868,0.6417789342835868,reversible_response,1.0597476056172828,1.0597476056172828
Theiler stage 22,22.0,amacrine cell,neural,KO_PAX3,RA_hGas_120h,0.5986027131028104,1.0422935612180997,0.02881297076880621,0.5978489045757466,0.001259280171245103,0.6418288329286735,0.6418288329286735,reversible_response,1.0687619501225105,1.0687619501225105
Theiler stage 27,27.0,myofibroblast cell,mesoderm,KO_TBX6,RA_hGas_120h,0.6013999896568701,0.7151467293978505,0.0910855769518448,0.5978618454673126,0.005883179664795568,0.44037669211518266,0.44037669211518266,reversible_response,1.1518043400214955,1.1518043400214955
Theiler stage 25,25.0,chondrocyte,mesoderm,KO_PAX3,RA_hGas_120h,0.5994725528800778,1.0438081357084785,0.028812970768806203,0.5987176489810303,0.001259280171245103,0.6427614853154037,0.6427614853154037,reversible_response,1.0703149862787076,1.0703149862787076
Theiler stage 25,25.0,cerebral cortex GABAergic interneuron,neural,KO_TBX6,RA_hGas_120h,0.6032347385366743,0.7173284964135218,0.09108557695184477,0.5996858001898172,0.005883179664795346,0.44172019171020466,0.44172019171020466,reversible_response,1.1553182604720327,1.1553182604720327
Theiler stage 26,26.0,cranial motor neuron,neural,KO_PAX3,RA_hGas_120h,0.6015274893765931,1.0473862135089078,0.028812970768806227,0.6007699977367623,0.001259280171244992,0.6449648122707132,0.6449648122707132,reversible_response,1.0739839271126195,1.0739839271126197
Theiler stage 17,17.0,neuron,neural,KO_PAX3,RA_hGas_120h,0.6026215723568049,1.0492912427056555,0.028812970768806227,0.6018627029599716,0.001259280171244881,0.646137900843394,0.646137900843394,reversible_response,1.0718408217219808,1.0652104694370357
Theiler stage 25,25.0,neural progenitor cell,neural,KO_TBX6,RA_hGas_120h,0.6056381605929954,0.720186493507804,0.09108557695184481,0.6020750824823705,0.005883179664795457,0.44348010370408936,0.44348010370408936,reversible_response,1.1599213067024678,1.159921306702468
Theiler stage 15,15.0,primitive erythroid progenitor,hematopoietic,KO_TBX6,RA_hGas_120h,0.6067881915386588,0.7215540373781767,0.09108557695184476,0.6032183475893605,0.005883179664795457,0.444322216827454,0.444322216827454,reversible_response,1.1582821812394852,1.1582821812394852
Theiler stage 22,22.0,spiral ganglion neuron,neural,KO_TBX6,RA_hGas_120h,0.6068261924443517,0.7215992256453664,0.09108557695184478,0.6032561249288979,0.005883179664795235,0.44435004308856846,0.44435004308856846,reversible_response,1.162196631388218,1.1621966313882182
Theiler stage 20,20.0,retinal pigment epithelial cell,neural,RA_hGas_120h,KO_TBX6,0.6071548938091186,0.5105846560528498,0.12879917896139392,0.6035828924844798,0.005883179664795346,0.3738769300704688,0.3738769300704688,reversible_response,1.0370606396811783,1.0370606396811783
Theiler stage 17,17.0,cerebral cortex GABAergic interneuron,neural,KO_PAX3,RA_hGas_120h,0.6044848003732628,1.0525355156134224,0.028812970768806224,0.6037235846503338,0.001259280171244881,0.6481356757233045,0.6481356757233045,reversible_response,1.0692594775645394,1.0692594775645397
Theiler stage 20,20.0,efferent neuron,neural,KO_TBX6,RA_hGas_120h,0.6076393881724815,0.7225662264357458,0.0910855769518448,0.6040645364804565,0.005883179664795235,0.44494550775593633,0.44494550775593633,reversible_response,1.1567678488528323,1.1567678488528323
