perturbation,external_cell_type,stage,stage_num,cell_type,devvcell_system,transfer_confidence,response_norm,source_response_norm,transfer_method,response_latent_01,response_latent_02,response_latent_03,response_latent_04,response_latent_05,response_latent_06
Rfx4,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.9793822122448876,0.9793822122448876,rdeg_proxy_quick,-0.0026671160780824365,0.9793822122448876,-0.08368094157019161,0.12385893770909469,0.3781238506921752,0.3687044907703166
Eya1,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.964677979208945,0.964677979208945,rdeg_proxy_quick,-0.0011124982719775082,0.964677979208945,-0.013556425831946281,0.12222049828387974,0.22447193024788376,0.36338999308611597
Lef1,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.9513363185942243,0.9513363185942243,rdeg_proxy_quick,-0.00127536569139915,0.9513363185942243,-0.0,0.12073388536802325,0.24245047199761466,0.35856796501657934
Prox1,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.9225143961337255,0.9225143961337255,rdeg_proxy_quick,-0.0010182005935348455,0.9225143961337255,-0.0,0.1175223629476196,0.21213488509829154,0.348150961981051
Eya4,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.8949099815056744,0.8949099815056744,rdeg_proxy_quick,-0.0015024773601907875,0.8949099815056744,-0.0,0.11444650301490329,0.29627998293675634,0.3381739983913219
Glis3,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.8856342863585417,0.8856342863585417,rdeg_proxy_quick,-0.0011694211803841906,0.8856342863585417,-0.0,0.11341294590327505,0.23127831962194648,0.33482151749291045
Pax3,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.8835519013912487,0.8835519013912487,rdeg_proxy_quick,-0.002098608613014186,0.8835519013912487,-0.0,0.11318091328922797,0.3066900813556592,0.33406888863704015
Nrg1,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.8833954230639001,0.8833954230639001,rdeg_proxy_quick,-0.0015175018273293449,0.8833954230639001,-0.0,0.11316347747601056,0.2528872282657293,0.3340123332419856
Zbtb16,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.8638770850832073,0.8638770850832073,rdeg_proxy_quick,-0.0015526488132308791,0.8638770850832073,-0.0,0.1109886197745536,0.28218439712602417,0.32695789104535544
Satb1,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.8560496687571924,0.8560496687571924,rdeg_proxy_quick,-0.0014974580355919468,0.8560496687571924,-0.079711634029075,0.11011643912597674,0.28251261215208123,0.3241288563152748
Otx2,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.8556151244307234,0.8556151244307234,rdeg_proxy_quick,-0.0013779031473677339,0.8556151244307234,-0.0,0.11006801942569383,0.2644081536878877,0.3239718005333747
Prdm16,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.8513330878647136,0.8513330878647136,rdeg_proxy_quick,-0.0011280919436830487,0.8513330878647136,-0.0,0.10959088760162569,0.22859620690280696,0.3224241595678041
