perturbation,external_cell_type,stage,stage_num,cell_type,devvcell_system,transfer_confidence,response_norm,source_response_norm,transfer_method,response_amplitude,recovery_cost,developmental_delay_score,fate_deflection_index,off_manifold_score,off_manifold_threshold,response_recovery_class
Satb2,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,1.174919191031786,1.174919191031786,rdeg_proxy_quick,1.282978950632115,1.2561041268330284,0.1998647080878213,-0.0616465008619127,1.2561041268330284,0.7523741847328391,off_manifold_collapse
Rfx4,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,1.0849336891382049,1.0849336891382049,rdeg_proxy_quick,1.1834846594458888,1.1624389867420648,0.20315389721600718,-0.10050071748516709,1.1624389867420648,0.7523741847328391,off_manifold_collapse
Eya1,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,1.0702294561022625,1.0702294561022625,rdeg_proxy_quick,1.1258555384933748,1.0970569074837198,0.20717061394266678,-0.22755246805382923,1.0970569074837198,0.7523741847328391,off_manifold_collapse
Lef1,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,1.0568877954875415,1.0568877954875415,rdeg_proxy_quick,1.116068505265553,1.0863113885547473,0.2062384056049129,-0.21567612632721733,1.0863113885547473,0.7523741847328391,off_manifold_collapse
Prox1,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,1.0280658730270429,1.0280658730270429,rdeg_proxy_quick,1.0807308408878449,1.0515889431159957,0.20764764201390884,-0.24516451652358962,1.0515889431159957,0.7523741847328391,off_manifold_collapse
Eya4,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,1.000461458398992,1.000461458398992,rdeg_proxy_quick,1.0729701352218175,1.0452155877507852,0.20477130453539005,-0.17949485108923158,1.0452155877507852,0.7523741847328391,off_manifold_collapse
Glis3,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,0.991185763251859,0.991185763251859,rdeg_proxy_quick,1.0475415610016587,1.0196145317608978,0.20753294687205015,-0.23619483041717682,1.0196145317608978,0.7523741847328391,off_manifold_collapse
Pax3,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,0.9891033782845662,0.9891033782845662,rdeg_proxy_quick,1.0646755592209134,1.0373891716427361,0.20437348501476582,-0.17207191939338484,1.0373891716427361,0.7523741847328391,off_manifold_collapse
Nrg1,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,0.9889468999572174,0.9889468999572174,rdeg_proxy_quick,1.0502838769352534,1.0225847716612473,0.20672269266201204,-0.21834437970156384,1.0225847716612473,0.7523741847328391,off_manifold_collapse
Zbtb16,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,0.9694285619765246,0.9694285619765246,rdeg_proxy_quick,1.0383444346767017,1.0114695637946955,0.20571641643782357,-0.19629774998349392,1.0114695637946955,0.7523741847328391,off_manifold_collapse
Satb1,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,0.9616011456505098,0.9616011456505098,rdeg_proxy_quick,1.033749787922006,1.0163051361091597,0.20863557439926073,-0.1952438333418054,1.0163051361091597,0.7523741847328391,off_manifold_collapse
Otx2,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,0.9611666013240407,0.9611666013240407,rdeg_proxy_quick,1.0254242454093472,0.9986824263485747,0.20660605478531635,-0.21315513756900772,0.9986824263485747,0.7523741847328391,off_manifold_collapse
Prdm16,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,0.9568845647580311,0.9568845647580311,rdeg_proxy_quick,1.012478307454516,0.9856269313664463,0.208143656194397,-0.2449290543689544,0.9856269313664463,0.7523741847328391,off_manifold_collapse
Dach2,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,0.9530161820629407,0.9530161820629407,rdeg_proxy_quick,1.037093927921933,1.0318010637183248,0.21106899310940408,-0.19659352208063496,1.0318010637183248,0.7523741847328391,off_manifold_collapse
Hoxd4,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,0.9294024637001866,0.9294024637001866,rdeg_proxy_quick,0.992328830886036,0.9666350595326272,0.20725625132422587,-0.22371513431423762,0.9666350595326272,0.7523741847328391,off_manifold_collapse
Rorb,RDEG-derived,Theiler stage 14,14,neural_response_axis,rdeg_proxy,1.0,0.8870106866121931,0.8870106866121931,rdeg_proxy_quick,0.9354111570986763,0.910857721617364,0.2105278488300788,-0.2868646646029781,0.910857721617364,0.7523741847328391,off_manifold_collapse
Satb2,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,1.2015619542362674,1.2015619542362674,rdeg_proxy_quick,1.3474546185642908,1.3474546185642908,0.09155028491689565,-0.05764434180600464,1.3474546185642908,0.7523741847328391,off_manifold_collapse
Rfx4,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,1.1115764523426865,1.1115764523426865,rdeg_proxy_quick,1.2451456796122948,1.2451456796122946,0.08972085706019128,-0.09430945665499113,1.2451456796122946,0.7523741847328391,off_manifold_collapse
Eya1,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,1.096872219306744,1.096872219306744,rdeg_proxy_quick,1.1891881543428549,1.1891881543428546,0.09903456286875434,-0.212676534538921,1.1891881543428546,0.7523741847328391,off_manifold_collapse
Lef1,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,1.0835305586920232,1.0835305586920232,rdeg_proxy_quick,1.1787321865574425,1.1787321865574423,0.10016327575541784,-0.20130716926950631,1.1787321865574423,0.7523741847328391,off_manifold_collapse
Prox1,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,1.0547086362315243,1.0547086362315243,rdeg_proxy_quick,1.1427073740580997,1.1427073740580995,0.10108711904339862,-0.22897421163523268,1.1427073740580995,0.7523741847328391,off_manifold_collapse
