tf,system_or_cell_type,system_process,ot_grn_evidence_score,n_system_specific_edges,sum_abs_system_weight,mean_abs_system_weight,max_abs_system_weight,n_positive_edges,n_negative_edges,top_system_targets,biological_process_proxy,grn_n_direct_targets,grn_mean_abs_weight,top_grn_targets,global_effect_score,developmental_delay_score,mean_temporal_sensitivity,peak_sensitivity_stage,peak_sensitivity,mutual_information,p_value,significant,mean_out_degree,mass_shift_mean
Foxo3,muscle precursor cell,mesoderm-to-muscle precursor specification,0.2913597116058421,5,0.3775083497166632,0.07550166994333264,0.0866158083081245,5,0,Rhbdl3(+0.087); Fam189a1(+0.080); Bcl6(+0.075); Phyhipl(+0.069); Galnt14(+0.066),mesoderm-to-muscle precursor specification,10,0.0896083,"Thsd7a(repressor,0.100); Opcml(activator,0.095); Cpne4(activator,0.092); Cdh20(activator,0.091); Hck(activator,0.091); Coq8a(activator,0.087); Rnf213(activator,0.086); Ehhadh(activator,0.085)",0.0076123396866023,0.0014094278449192,,,,0.0478752014594719,0.028,True,7.375,11142.438095092772
Nr3c2,hematopoietic stem cell,hematopoietic progenitor maintenance and lineage choice,0.28715876835711873,8,0.5662121959030624,0.0707765244878828,0.0825668349862098,8,0,Tyrobp(+0.083); Ano3(+0.081); Satb2(+0.080); Pde3a(+0.080); Dach2(+0.076); Atp6v0a4(+0.072); B630019A10Rik(+0.060); Aim2(+0.034),hematopoietic progenitor maintenance and lineage choice; neural regionalization; metabolic or stress response,10,0.0916761,"Adcy8(activator,0.108); Pde4b(activator,0.103); Gm29478(activator,0.093); Cntn1(activator,0.091); Adgrg6(activator,0.091); Chl1(activator,0.089); Gm29521(activator,0.087); Slc1a2(activator,0.087)",0.0050551728345453,0.0007872845162637,,,,0.0312170358182601,0.242,False,8.5,3678.095657348633
Zbtb16,myoblast,myogenic commitment and skeletal muscle differentiation,0.2866048142552753,3,0.2485568150877951,0.08285227169593169,0.0879553034901619,3,0,Fam20a(+0.088); Dgkg(+0.082); Oasl2(+0.079),myogenic commitment and skeletal muscle differentiation,10,0.1201146,"Scube2(activator,0.148); Klk9(activator,0.130); Slit3(activator,0.124); Pappa(activator,0.121); Hoxd4(activator,0.118); Spon1(activator,0.117); Rnf220(activator,0.117); Trabd2b(activator,0.112)",0.0160443168133497,0.0026541005354374,,,,0.0282783685474151,0.396,False,9.125,25665.518112182617
Nr3c2,cardiac muscle cell,cardiac muscle differentiation,0.28453802659331434,7,0.5572616755962367,0.07960881079946239,0.1029402911663055,4,3,Myl2(+0.103); Prdm16(+0.098); Hnf1aos1(+0.081); Pdgfd(-0.080); Foxo3(+0.079); Slc44a5(-0.067); Angpt1(-0.050),cardiac muscle differentiation; myogenic / mesoderm morphogenesis; hematopoietic / erythroid regulation; metabolic or stress response; ECM and tissue morphogenesis,10,0.0916761,"Adcy8(activator,0.108); Pde4b(activator,0.103); Gm29478(activator,0.093); Cntn1(activator,0.091); Adgrg6(activator,0.091); Chl1(activator,0.089); Gm29521(activator,0.087); Slc1a2(activator,0.087)",0.0050551728345453,0.0007872845162637,,,,0.0312170358182601,0.242,False,8.5,3678.095657348633
Ebf1,cardiac muscle cell,cardiac muscle differentiation,0.27992210702335657,4,0.2676268965005873,0.06690672412514682,0.0826624035835266,4,0,Hpse2(+0.083); Adam12(+0.073); Egfr(+0.070); Nrg1(+0.042),cardiac muscle differentiation; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis,10,0.0721684,"Lhx6(activator,0.082); Gp5(activator,0.080); Abcb1a(activator,0.079); Grem2(activator,0.072); Adgrf5(activator,0.072); 4930578C19Rik(activator,0.070); Nxph2(activator,0.070); Arhgap36(activator,0.068)",0.0096595603972673,0.0012478495482355,,,,0.0404811780569391,0.104,False,10.25,32549.20524597168
Runx2,erythroid progenitor cell,definitive erythroid differentiation,0.2780119802309647,8,0.6511063650250433,0.08138829562813041,0.0869029089808464,8,0,Chrm3(+0.087); Gpc5(+0.085); Spon1(+0.083); Col23a1(+0.083); Egfr(+0.080); Cped1(+0.080); Tfap2b(+0.077); Vdr(+0.076),definitive erythroid differentiation,10,0.08400139999999999,"Ly6g6f(activator,0.088); Dennd2c(activator,0.087); Dpp10(activator,0.087); Cd200r1(activator,0.086); Pcdh11x(activator,0.084); Scn9a(activator,0.082); Lrfn5(activator,0.082); C1qtnf7(activator,0.082)",0.0014594916719943,0.000288896728307,,,,0.031046631816653,0.248,False,8.25,1413.4042205810547
Ebf1,hematopoietic stem cell,hematopoietic progenitor maintenance and lineage choice,0.27695819910333075,6,0.2575043737888333,0.04291739563147221,0.0501881428062915,6,0,Runx3(+0.050); Adamtsl1(+0.048); Inmt(+0.048); Pde10a(+0.048); Ets1(+0.037); Glis3(+0.026),hematopoietic progenitor maintenance and lineage choice,10,0.0721684,"Lhx6(activator,0.082); Gp5(activator,0.080); Abcb1a(activator,0.079); Grem2(activator,0.072); Adgrf5(activator,0.072); 4930578C19Rik(activator,0.070); Nxph2(activator,0.070); Arhgap36(activator,0.068)",0.0096595603972673,0.0012478495482355,,,,0.0404811780569391,0.104,False,10.25,32549.20524597168
Nr3c2,neural cell,neural patterning / neuronal differentiation,0.2625866003313239,7,0.4822917990386485,0.06889882843409265,0.076936736702919,6,1,Ccbe1(+0.077); Barhl1(+0.076); Pdzrn4(+0.070); Neurod1(+0.070); Dkk2(-0.064); 4930544I03Rik(+0.064); Fndc1(+0.061),neural patterning / neuronal differentiation,10,0.0916761,"Adcy8(activator,0.108); Pde4b(activator,0.103); Gm29478(activator,0.093); Cntn1(activator,0.091); Adgrg6(activator,0.091); Chl1(activator,0.089); Gm29521(activator,0.087); Slc1a2(activator,0.087)",0.0050551728345453,0.0007872845162637,,,,0.0312170358182601,0.242,False,8.5,3678.095657348633
Runx2,cardiac muscle cell,cardiac muscle differentiation,0.2589237297013471,8,0.5859149843454358,0.07323937304317947,0.0787183940410614,8,0,Cpa6(+0.079); Lhx9(+0.077); Phyhipl(+0.073); Rgcc(+0.073); Il34(+0.073); Twist2(+0.071); Hpse2(+0.070); Pax2(+0.070),cardiac muscle differentiation; hematopoietic / erythroid regulation; metabolic or stress response,10,0.08400139999999999,"Ly6g6f(activator,0.088); Dennd2c(activator,0.087); Dpp10(activator,0.087); Cd200r1(activator,0.086); Pcdh11x(activator,0.084); Scn9a(activator,0.082); Lrfn5(activator,0.082); C1qtnf7(activator,0.082)",0.0014594916719943,0.000288896728307,,,,0.031046631816653,0.248,False,8.25,1413.4042205810547
Ebf3,neural cell,neural patterning / neuronal differentiation,0.25584067691680845,8,0.4898203462362285,0.06122754327952856,0.0695900544524192,8,0,Slc17a8(+0.070); St18(+0.063); C1qtnf7(+0.062); Gm26740(+0.062); Gm26973(+0.062); Col17a1(+0.060); Igf1(+0.057); Nkx2-1(+0.054),neural patterning / neuronal differentiation,10,0.082778,"Kcnd2(activator,0.117); Cdh8(activator,0.086); Slc6a5(activator,0.081); Tbx3os1(activator,0.081); Gabrp(activator,0.080); Iqcj(activator,0.078); Prrx1(activator,0.077); St18(activator,0.077)",0.0026569375768303,0.000410626467783,,,,0.0282783685474151,0.404,False,10.125,480.12156677246094
