method,shuffle_time,lineage,module_name,feature_type,mse,mae,n_predictions,bias,pearson,spearman
linear,False,mesodermal,endothelial,module_score,5.184978987941797e-05,0.00713379361708502,4,-0.0002924321310532208,-0.9638573008788486,-0.6000000000000001
linear,True,mesodermal,endothelial,module_score,4.3527002404188094e-05,0.006524432840939747,4,0.0002924321310532208,-0.9610936821776545,-0.6000000000000001
linear,False,mesodermal,erythroid,module_score,1.5152541436773307e-06,0.0010833911296718988,4,-0.0002656972426864484,-0.3807229514997914,-0.39999999999999997
linear,True,mesodermal,erythroid,module_score,9.042790386007154e-07,0.0007830897906089296,4,0.00026569724268644837,-0.15560195374955418,-0.6000000000000001
linear,False,mesodermal,extraembryonic_mesoderm,module_score,0.0037131375491458456,0.04061886726103798,4,0.018389027353722658,0.3316620032518569,0.7999999999999999
linear,True,mesodermal,extraembryonic_mesoderm,module_score,0.008890545394565602,0.08233425738105103,4,-0.016032244504887716,-0.24924410740859046,0.39999999999999997
linear,False,mesodermal,haematoendothelial,module_score,4.272855541646099e-05,0.004038711751244244,4,-0.0023505306262012887,0.6658233572879039,0.7999999999999999
linear,True,mesodermal,haematoendothelial,module_score,0.00012075286710493034,0.009666558580623737,4,-0.0021334808264954087,-0.7384642343588772,-1.0
linear,False,mesodermal,intermediate,module_score,0.00384083335244443,0.054074731631543,4,0.010651173899182548,-0.26344623219950275,0.39999999999999997
linear,True,mesodermal,intermediate,module_score,0.0016327166170592643,0.02692190109403214,4,-0.012127844173606878,0.28612413867696274,0.7999999999999999
linear,False,mesodermal,latent_1,latent_dimension,0.15405288148051974,0.33629499871247326,4,-0.11394456394280716,-0.09297243113985817,-0.6000000000000001
linear,True,mesodermal,latent_1,latent_dimension,0.24383820781730314,0.4398241314660236,4,0.10286717771090714,-0.26485559865280156,0.39999999999999997
linear,False,mesodermal,latent_2,latent_dimension,14.22600310686677,3.1742604984736493,4,0.7671128139231209,-0.002018502669220157,0.6000000000000001
linear,True,mesodermal,latent_2,latent_dimension,24.835465675315838,4.493536058941958,4,-1.156326631389722,-0.21077743755446568,0.39999999999999997
linear,False,mesodermal,latent_3,latent_dimension,5.098992406796856,1.9040500644516967,4,-0.8433193008391083,-0.8777697171962937,-1.0
linear,True,mesodermal,latent_3,latent_dimension,6.677391610004873,2.404171644909026,4,-0.38622871646651824,-0.8676688897116147,-1.0
linear,False,mesodermal,latent_4,latent_dimension,4.328603244970011,1.7754099835759043,4,-0.33008804629122185,-0.33929599129940813,0.39999999999999997
linear,True,mesodermal,latent_4,latent_dimension,1.8196515372802144,0.8762804621976259,4,0.43458133597774357,0.1838283613794099,0.7999999999999999
linear,False,mesodermal,latent_5,latent_dimension,1.7338283873765814,1.2759948353724646,4,-0.489472562864209,0.42852998697137024,0.39999999999999997
linear,True,mesodermal,latent_5,latent_dimension,5.407625594059548,1.9914332492108544,4,0.6799498216481146,-0.8609736064293885,-0.7999999999999999
linear,False,mesodermal,mesoderm,module_score,0.008026167766834217,0.058206876918280734,4,0.029486075062810226,0.7689219971469424,0.7999999999999999
linear,True,mesodermal,mesoderm,module_score,0.008026167766834217,0.058206876918280734,4,0.029486075062810226,0.7689219971469424,0.7999999999999999
