run_name,seed,pairing_method,latent_dim,max_pairs_per_transition,model,system,src_stage,tgt_stage,n_pairs,pair_latent_mse,centroid_latent_mse,rbf_mmd
transition_seed99_sinkhorn,99,sinkhorn,48,350,context_residual_mlp,erythroid,17,18,350,0.0643434524536132,0.0241490751504898,0.0749474763870239
transition_seed99_sinkhorn,99,sinkhorn,48,350,context_residual_mlp,mesoderm_muscle,14,15,350,0.1563335955142974,0.0047419550828635,0.0160751342773437
transition_seed99_sinkhorn,99,sinkhorn,48,350,context_residual_mlp,mesoderm_muscle,17,18,350,0.3831192553043365,0.0145903630182147,0.0092006921768188
transition_seed99_sinkhorn,99,sinkhorn,48,350,context_residual_mlp,neural,14,15,350,0.0996651053428649,0.0034851988311856,0.014398455619812
transition_seed99_sinkhorn,99,sinkhorn,48,350,context_residual_mlp,neural,17,18,350,0.6660003662109375,0.0261539872735738,0.0124291181564331
transition_seed99_nearest,99,nearest,48,350,identity,erythroid,14,15,350,0.1276860833168029,0.0073197241872549,0.013417363166809
transition_seed99_nearest,99,nearest,48,350,identity,erythroid,17,18,350,0.0682374015450477,0.0031611493322998,0.0088306665420532
transition_seed99_nearest,99,nearest,48,350,identity,mesoderm_muscle,14,15,350,0.1642134636640548,0.0030294088646769,0.0127786397933959
transition_seed99_nearest,99,nearest,48,350,identity,mesoderm_muscle,17,18,350,0.3657516241073608,0.0067596598528325,0.0120744705200195
transition_seed99_nearest,99,nearest,48,350,identity,neural,14,15,350,0.1430920511484146,0.003417138941586,0.0158836841583251
transition_seed99_nearest,99,nearest,48,350,identity,neural,17,18,350,0.4250958859920501,0.0047467616386711,0.0078858137130737
transition_seed99_nearest,99,nearest,48,350,mean_shift,erythroid,14,15,350,0.1304929703474044,0.0101265748962759,0.0192087888717651
transition_seed99_nearest,99,nearest,48,350,mean_shift,erythroid,17,18,350,0.0715812593698501,0.0065050013363361,0.0155202150344848
transition_seed99_nearest,99,nearest,48,350,mean_shift,mesoderm_muscle,14,15,350,0.165466234087944,0.0042821769602596,0.0155502557754516
transition_seed99_nearest,99,nearest,48,350,mean_shift,mesoderm_muscle,17,18,350,0.3653240203857422,0.0063321175985038,0.0119855403900146
transition_seed99_nearest,99,nearest,48,350,mean_shift,neural,14,15,350,0.1423259973526001,0.0026510984171181,0.0139068365097045
transition_seed99_nearest,99,nearest,48,350,mean_shift,neural,17,18,350,0.4250639677047729,0.0047147632576525,0.0067074298858642
transition_seed99_nearest,99,nearest,48,350,ridge,erythroid,14,15,350,0.084715187549591,0.0025736570823937,0.0211907625198364
transition_seed99_nearest,99,nearest,48,350,ridge,erythroid,17,18,350,0.0563706457614898,0.0038868014235049,0.0350295305252075
transition_seed99_nearest,99,nearest,48,350,ridge,mesoderm_muscle,14,15,350,0.0993357822299003,0.0013405117206275,0.0160647630691528
transition_seed99_nearest,99,nearest,48,350,ridge,mesoderm_muscle,17,18,350,0.2235699445009231,0.0027843157295137,0.0104323625564575
transition_seed99_nearest,99,nearest,48,350,ridge,neural,14,15,350,0.0802635475993156,0.0017387425759807,0.0144571065902709
transition_seed99_nearest,99,nearest,48,350,ridge,neural,17,18,350,0.277415782213211,0.0024391990154981,0.0119726657867431
transition_seed99_nearest,99,nearest,48,350,context_residual_mlp,erythroid,14,15,350,0.0843415036797523,0.0026310440152883,0.0062505006790161
transition_seed99_nearest,99,nearest,48,350,context_residual_mlp,erythroid,17,18,350,0.0498211681842803,0.0019047707319259,0.006941795349121
transition_seed99_nearest,99,nearest,48,350,context_residual_mlp,mesoderm_muscle,14,15,350,0.0966931357979774,0.0009153080172836,0.0062718391418457
transition_seed99_nearest,99,nearest,48,350,context_residual_mlp,mesoderm_muscle,17,18,350,0.2418203800916671,0.0019809049554169,0.0031800270080566
transition_seed99_nearest,99,nearest,48,350,context_residual_mlp,neural,14,15,350,0.0857054814696312,0.0015161704504862,0.0046871900558471
transition_seed99_nearest,99,nearest,48,350,context_residual_mlp,neural,17,18,350,0.3112868964672088,0.0018645379459485,0.0028320550918579
