source_lineage,target_lineage,mass,source_time,target_time
Stripped,Allantois,0.00011239339801250026,8.0,8.25
Stripped,Cardiomyocytes,3.84308623324614e-05,8.0,8.25
Stripped,Def. endoderm,1.4620188469160328e-14,8.0,8.25
Stripped,ExE mesoderm,0.00024233886506408453,8.0,8.25
Stripped,Gut,8.937036000133958e-09,8.0,8.25
Stripped,Intermediate mesoderm,2.863029294530861e-06,8.0,8.25
Stripped,Mesenchyme,0.000968386884778738,8.0,8.25
Stripped,Paraxial mesoderm,0.0034053369890898466,8.0,8.25
Stripped,Pharyngeal mesoderm,0.002357947174459696,8.0,8.25
Stripped,Rostral neurectoderm,0.0003617306356318295,8.0,8.25
Stripped,Surface ectoderm,0.0008439029916189611,8.0,8.25
Surface ectoderm,Allantois,8.52666016726289e-06,8.0,8.25
Surface ectoderm,Cardiomyocytes,0.00019168705330230296,8.0,8.25
Surface ectoderm,Def. endoderm,3.7724198764799155e-12,8.0,8.25
Surface ectoderm,ExE mesoderm,0.00030365571728907526,8.0,8.25
Surface ectoderm,Gut,4.6804260023236566e-08,8.0,8.25
Surface ectoderm,Intermediate mesoderm,7.261691644089296e-05,8.0,8.25
Surface ectoderm,Mesenchyme,0.00870851706713438,8.0,8.25
Surface ectoderm,Paraxial mesoderm,0.0012722474057227373,8.0,8.25
Surface ectoderm,Pharyngeal mesoderm,0.0022031578700989485,8.0,8.25
Surface ectoderm,Rostral neurectoderm,0.001533930073492229,8.0,8.25
Surface ectoderm,Surface ectoderm,0.044038936495780945,8.0,8.25
Anterior Primitive Streak,Anterior Primitive Streak,0.016917571425437927,7.0,7.25
Anterior Primitive Streak,Def. endoderm,0.06408192217350006,7.0,7.25
Anterior Primitive Streak,Epiblast,2.501294329704251e-05,7.0,7.25
Anterior Primitive Streak,ExE mesoderm,0.00022800873557571322,7.0,7.25
Anterior Primitive Streak,Haematoendothelial progenitors,0.0056381868198513985,7.0,7.25
Anterior Primitive Streak,Mesenchyme,0.0010018236935138702,7.0,7.25
Anterior Primitive Streak,Mixed mesoderm,0.0014488588785752654,7.0,7.25
Anterior Primitive Streak,Nascent mesoderm,0.002778039313852787,7.0,7.25
Anterior Primitive Streak,Notochord,0.015834476798772812,7.0,7.25
Anterior Primitive Streak,Primitive Streak,0.0003629862330853939,7.0,7.25
Anterior Primitive Streak,Rostral neurectoderm,1.5951385648804717e-05,7.0,7.25
Anterior Primitive Streak,Stripped,3.956077989641926e-07,7.0,7.25
Epiblast,Anterior Primitive Streak,0.0026591275818645954,7.0,7.25
Epiblast,Def. endoderm,0.015106866136193275,7.0,7.25
Epiblast,Epiblast,0.08054137229919434,7.0,7.25
Epiblast,ExE mesoderm,0.0011857240460813046,7.0,7.25
Epiblast,Haematoendothelial progenitors,0.01306716538965702,7.0,7.25
Epiblast,Mesenchyme,0.005553055554628372,7.0,7.25
Epiblast,Mixed mesoderm,0.0038501890376210213,7.0,7.25
Epiblast,Nascent mesoderm,0.01708231121301651,7.0,7.25
Epiblast,Notochord,0.002991207642480731,7.0,7.25
Epiblast,Primitive Streak,0.07586242258548737,7.0,7.25
Epiblast,Rostral neurectoderm,0.007099769078195095,7.0,7.25
Epiblast,Stripped,9.088535648515972e-07,7.0,7.25
ExE ectoderm,Anterior Primitive Streak,4.233872459735721e-06,7.0,7.25
ExE ectoderm,Def. endoderm,9.951616448233835e-06,7.0,7.25
ExE ectoderm,Epiblast,1.794955096556805e-06,7.0,7.25
ExE ectoderm,ExE mesoderm,7.273634400917217e-05,7.0,7.25
ExE ectoderm,Haematoendothelial progenitors,0.007636796683073044,7.0,7.25
ExE ectoderm,Mesenchyme,0.00043123477371409535,7.0,7.25
ExE ectoderm,Mixed mesoderm,0.0001077430642908439,7.0,7.25
ExE ectoderm,Nascent mesoderm,4.899569830740802e-05,7.0,7.25
ExE ectoderm,Notochord,1.2068447858837317e-06,7.0,7.25
ExE ectoderm,Primitive Streak,7.801088941050693e-06,7.0,7.25
