seed,model,holdout_time,source_time,next_time,n_pred,n_true,uses_teacher,uses_birth_death,uses_diffusion,uses_swarm,uses_cci,uses_memory,sinkhorn,mmd_rbf,energy,knn_two_sample_accuracy,celltype_composition_rmse
42,M11_random_lr_labels,7.75,7.5,8.0,119,618,True,True,True,True,True,False,0.4526410947552264,0.04996531921485625,0.6851501356987342,0.6746031746031746,0.048821641193102235
99,M0_linear_label_interpolation,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.3606599348295585,0.020923030264651143,0.27002985378783784,0.65,0.02374835694612971
99,M0b_ot_interpolation,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.3421747697566709,0.03213532045636669,0.3846276734881098,0.6444444444444445,0.023183051974039817
99,M1_intrinsic_neural,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.41824316212298074,0.03700654377468349,0.4043458236007975,0.8055555555555556,0.030065394256685193
99,M2_ot_teacher_force,7.75,7.5,8.0,300,618,True,False,False,False,False,False,0.40046116355458145,0.03372955975448444,0.3955413669604422,0.8111111111111111,0.0237750876476059
99,M3_ot_birth_death,7.75,7.5,8.0,121,618,True,True,False,False,False,False,0.47625327589242167,0.03925035942569832,0.6112122811344314,0.7952755905511811,0.04562368540215576
99,M4_ot_adaptive_diffusion,7.75,7.5,8.0,300,618,True,False,True,False,False,False,0.4020686024510528,0.033490343858323945,0.39265319935456233,0.8055555555555556,0.023869696708282217
99,M5_ot_swarm,7.75,7.5,8.0,300,618,True,False,False,True,False,False,0.3975515356229177,0.037430031539304354,0.4277270367485233,0.7833333333333333,0.02481442844648541
99,M6_ot_swarm_birth_death,7.75,7.5,8.0,121,618,True,True,False,True,False,False,0.4741462142619725,0.04168601167378849,0.6351096361519488,0.8031496062992126,0.04662815742138718
99,M7_ot_swarm_birth_death_diffusion,7.75,7.5,8.0,121,618,True,True,True,True,False,False,0.47439876457348856,0.04159883166230249,0.6319007106997745,0.7874015748031497,0.04458575240249945
99,M8_ot_swarm_birth_death_diffusion_cci,7.75,7.5,8.0,121,618,True,True,True,True,True,False,0.47440630618566393,0.04162876924211656,0.6322733418990509,0.7874015748031497,0.04458575240249945
99,M9_full_memory,7.75,7.5,8.0,121,618,True,True,True,True,True,True,0.4739286355575704,0.042056259975633226,0.6362787897558828,0.7952755905511811,0.04458575240249945
99,M10_shuffled_time_ot,7.75,7.5,8.0,115,618,True,True,True,True,False,False,0.5049747177000267,0.021178030220866173,0.3935152397428219,0.752,0.03146191016648241
99,M11_random_lr_labels,7.75,7.5,8.0,123,618,True,True,True,True,True,False,0.5077299486059067,0.044082785088106924,0.6859872486913368,0.7480314960629921,0.04409123466885726
