source_lineage,target_lineage,mass,source_time,target_time
Def. endoderm,Allantois,0.0007897993782535195,8.0,8.25
Def. endoderm,Blood progenitors 1,5.5118638556450605e-05,8.0,8.25
Def. endoderm,Blood progenitors 2,2.1514004401979037e-05,8.0,8.25
Def. endoderm,Cardiomyocytes,0.004233742598444223,8.0,8.25
Def. endoderm,Caudal Mesoderm,0.00111981644295156,8.0,8.25
Def. endoderm,Caudal epiblast,0.00011188876669621095,8.0,8.25
Def. endoderm,Caudal neurectoderm,9.532857802696526e-05,8.0,8.25
Def. endoderm,Def. endoderm,0.008176165632903576,8.0,8.25
Def. endoderm,Endothelium,0.0016084689414128661,8.0,8.25
Def. endoderm,Erythroid1,0.0002316075115231797,8.0,8.25
Def. endoderm,Erythroid2,0.0005810980801470578,8.0,8.25
Def. endoderm,Erythroid3,0.0002580320287961513,8.0,8.25
Def. endoderm,ExE ectoderm,0.00028472545091062784,8.0,8.25
Def. endoderm,ExE mesoderm,0.0001574358466314152,8.0,8.25
Def. endoderm,Forebrain/Midbrain/Hindbrain,0.0007504821987822652,8.0,8.25
Def. endoderm,Gut,0.0014961576089262962,8.0,8.25
Def. endoderm,Haematoendothelial progenitors,0.004323186352849007,8.0,8.25
Def. endoderm,Intermediate mesoderm,0.0011121002025902271,8.0,8.25
Def. endoderm,Mesenchyme,0.00027685167151503265,8.0,8.25
Def. endoderm,NMP,0.0009090767707675695,8.0,8.25
Def. endoderm,Neural crest,7.399119203910232e-05,8.0,8.25
Def. endoderm,PGC,1.6517633412149735e-06,8.0,8.25
Def. endoderm,Paraxial mesoderm,0.0018237034091725945,8.0,8.25
Def. endoderm,Pharyngeal mesoderm,0.0009050718508660793,8.0,8.25
Def. endoderm,Rostral neurectoderm,0.0010775856208056211,8.0,8.25
Def. endoderm,Somitic mesoderm,0.0010536332847550511,8.0,8.25
Def. endoderm,Spinal cord,0.00027248356491327286,8.0,8.25
Def. endoderm,Stripped,0.0008990844362415373,8.0,8.25
Def. endoderm,Surface ectoderm,0.0006335205398499966,8.0,8.25
Endothelium,Allantois,0.004555979743599892,8.0,8.25
Endothelium,Blood progenitors 1,0.0017095223302021623,8.0,8.25
Endothelium,Blood progenitors 2,6.358870450640097e-05,8.0,8.25
Endothelium,Cardiomyocytes,0.0003164524969179183,8.0,8.25
Endothelium,Caudal Mesoderm,0.00024970315280370414,8.0,8.25
Endothelium,Caudal epiblast,4.8821766540640965e-06,8.0,8.25
Endothelium,Caudal neurectoderm,7.2879993240348995e-06,8.0,8.25
Endothelium,Def. endoderm,0.00015439072740264237,8.0,8.25
Endothelium,Endothelium,0.012431113980710506,8.0,8.25
Endothelium,Erythroid1,0.0001507024426246062,8.0,8.25
Endothelium,Erythroid2,0.00038939688238315284,8.0,8.25
Endothelium,Erythroid3,0.00022773302043788135,8.0,8.25
Endothelium,ExE ectoderm,9.125824726652354e-05,8.0,8.25
Endothelium,ExE mesoderm,0.0003709280281327665,8.0,8.25
Endothelium,Forebrain/Midbrain/Hindbrain,0.0005782641819678247,8.0,8.25
Endothelium,Gut,0.0001862593344412744,8.0,8.25
Endothelium,Haematoendothelial progenitors,0.009060663171112537,8.0,8.25
Endothelium,Intermediate mesoderm,0.0007685594609938562,8.0,8.25
Endothelium,Mesenchyme,0.0017766256351023912,8.0,8.25
Endothelium,NMP,0.00021176306472625583,8.0,8.25
Endothelium,Neural crest,0.00027598231099545956,8.0,8.25
Endothelium,PGC,2.7236399546382017e-05,8.0,8.25
Endothelium,Paraxial mesoderm,0.000696541799698025,8.0,8.25
Endothelium,Pharyngeal mesoderm,0.0004479572526179254,8.0,8.25
Endothelium,Rostral neurectoderm,0.005919968243688345,8.0,8.25
Endothelium,Somitic mesoderm,0.00021789416496176273,8.0,8.25
Endothelium,Spinal cord,6.529444362968206e-05,8.0,8.25
Endothelium,Stripped,0.0004070578725077212,8.0,8.25
Endothelium,Surface ectoderm,0.0003036321431864053,8.0,8.25
Erythroid1,Allantois,0.00013417986338026822,8.0,8.25
Erythroid1,Blood progenitors 1,1.3570404007623438e-05,8.0,8.25
Erythroid1,Blood progenitors 2,0.009039376862347126,8.0,8.25
Erythroid1,Cardiomyocytes,0.000209732839721255,8.0,8.25
Erythroid1,Caudal Mesoderm,0.00025034340796992183,8.0,8.25
Erythroid1,Caudal epiblast,0.0008706010412424803,8.0,8.25
Erythroid1,Caudal neurectoderm,1.3695233064936474e-05,8.0,8.25
Erythroid1,Def. endoderm,4.524466203292832e-05,8.0,8.25
Erythroid1,Endothelium,4.009169424534775e-05,8.0,8.25
Erythroid1,Erythroid1,0.010104361921548843,8.0,8.25
Erythroid1,Erythroid2,0.01233054231852293,8.0,8.25
Erythroid1,Erythroid3,0.007354449480772018,8.0,8.25
Erythroid1,ExE ectoderm,1.6560838048462756e-05,8.0,8.25
Erythroid1,ExE mesoderm,2.4766904971329495e-05,8.0,8.25
Erythroid1,Forebrain/Midbrain/Hindbrain,0.00019597816572058946,8.0,8.25
Erythroid1,Gut,6.820771523052827e-05,8.0,8.25
Erythroid1,Haematoendothelial progenitors,0.0001582217519171536,8.0,8.25
Erythroid1,Intermediate mesoderm,0.00013374121044762433,8.0,8.25
Erythroid1,Mesenchyme,1.6312493244186044e-05,8.0,8.25
Erythroid1,NMP,0.00011225987691432238,8.0,8.25
Erythroid1,Neural crest,5.395715561462566e-06,8.0,8.25
Erythroid1,PGC,3.2467805795022286e-06,8.0,8.25
Erythroid1,Paraxial mesoderm,7.992491009645164e-05,8.0,8.25
Erythroid1,Pharyngeal mesoderm,6.469634536188096e-05,8.0,8.25
