dataset_id,sampling_strategy,clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_state,initial_lineage,terminal_sampling_depth,early_sampling_depth,number_of_observed_time_points,terminal_fate_entropy,terminal_lineage_entropy,clone_multilineage_score,clone_branch_count,clone_fate_diversification_index,clone_transition_entropy,outcome_estimable,branch_window_condensation_exposure,post_event_divergence_exposure,fate_entropy_exposure,teacher_velocity_bias_exposure,local_alignment_exposure,density_exposure,condensation_only,post_event_divergence_only,fate_entropy_only,teacher_bias_only,two_phase_condensation_plus_divergence,uncertainty_plus_teacher_bias,clone_size_bin,time_span_bin,start_time_bin
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1194,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9999999999971146,True,-0.6105614962484941,0.6105614962484941,0.7887644171714783,0.8808013001251471,0.9994244750300594,12.5833120981227,0.30538922155688625,0.7005988023952096,0.2754491017964072,0.38922155688622756,0.5029940119760479,0.3323353293413174,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1202,4,2.5,5.0,2.5,MEP,MEP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.3665088692038327,0.3665088692038327,0.9246351718902588,0.9857281060663425,0.9999235574888297,26.170477205604076,0.5868263473053892,0.41916167664670656,0.9161676646706587,0.8323353293413174,0.5029940119760479,0.874251497005988,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1215,4,2.5,5.0,2.5,MEP,MEP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.28016446181279153,0.28016446181279153,0.873262882232666,0.9338291096395637,0.9978738396093209,14.227280755277475,0.6946107784431138,0.31137724550898205,0.5988023952095808,0.562874251497006,0.5029940119760479,0.5808383233532934,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1232,4,2.5,5.0,2.5,Mono,Mono,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.8112781244562475,True,-1.25682477644312,1.25682477644312,0.5387977361679077,-0.9313300453556275,0.9765616238328096,4.2323248341050785,0.08383233532934131,0.9221556886227545,0.04790419161676647,0.03592814371257485,0.5029940119760479,0.041916167664670656,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1247,4,2.5,5.0,2.5,MEP,MEP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.6337462582280763,0.6337462582280763,0.8995221257209778,0.999814879685401,0.99990344099919,12.873648803601458,0.281437125748503,0.7245508982035929,0.7365269461077845,0.9820359281437125,0.5029940119760479,0.8592814371257484,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1255,4,2.5,5.0,2.5,MEP,MEP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.6105683640818095,0.6105683640818095,0.7246668338775635,0.8521168374113515,0.9993188452379217,5.027641430399956,0.2994011976047904,0.7065868263473054,0.15568862275449102,0.19760479041916168,0.5029940119760479,0.17664670658682635,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1276,4,2.5,5.0,2.5,MEP,MEP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.3324494329868522,0.3324494329868522,0.8062077164649963,0.9151479113039218,0.9989823611316845,8.879858999965215,0.6227544910179641,0.38323353293413176,0.31736526946107785,0.5089820359281437,0.5029940119760479,0.4131736526946108,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1295,4,2.5,5.0,2.5,MPP/GMP,MPP/GMP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.0023250567126822386,0.0023250567126822386,0.8975232839584351,0.9410770975319896,0.9995044385924026,21.363856569027657,1.0,0.005988023952095809,0.7245508982035929,0.6047904191616766,0.5029940119760479,0.6646706586826348,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1307,4,2.5,5.0,2.5,Neutro,Neutro,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.6743911031552995,0.6743911031552995,0.7369863986968994,0.4754743992357141,0.9947380671295059,3.8543080243349923,0.23952095808383234,0.7664670658682635,0.17365269461077845,0.08383233532934131,0.5029940119760479,0.1287425149700599,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1332,4,2.5,5.0,2.5,Unk_1,Unk_1,3,1,2,0.0,0.0,1.0,1.0,0.0,0.8112781244562475,True,-0.18071387689603033,0.18071387689603033,0.6857720613479614,0.851487362245916,0.9992514405554568,5.11800901838793,0.8323353293413174,0.17365269461077845,0.1377245508982036,0.19161676646706588,0.5029940119760479,0.16467065868263475,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1336,4,2.5,5.0,2.5,MEP,MEP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.7282236070083553,0.7282236070083553,0.7281374335289001,0.8443466128092045,0.9999279368895362,6.912260315240337,0.19760479041916168,0.8083832335329342,0.16167664670658682,0.17365269461077845,0.5029940119760479,0.16766467065868262,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1352,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.9999999999972693,0.9999999999972693,3.0,3.0,0.6666666666666667,0.9463946303544555,True,-0.740594253594914,0.740594253594914,0.7700313925743103,0.8419302166351705,0.9996256170124522,9.226304070468549,0.19161676646706588,0.8143712574850299,0.23353293413173654,0.16167664670658682,0.5029940119760479,0.19760479041916168,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1357,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9999999999971146,True,-0.32179970650090506,0.32179970650090506,0.8662367463111877,0.8975935708483714,0.9992415018180876,10.687113906003763,0.6407185628742516,0.3652694610778443,0.5808383233532934,0.47904191616766467,0.5029940119760479,0.5299401197604791,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1362,4,2.5,5.0,2.5,Mono,Mono,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.8112781244562475,True,-0.9188650161927157,0.9188650161927157,0.6197301149368286,0.03308822112946869,0.9788383395418833,1.8800032240395381,0.11976047904191617,0.8862275449101796,0.10179640718562874,0.0718562874251497,0.5029940119760479,0.08682634730538921,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1366,4,2.5,5.0,2.5,MEP,MEP,3,1,2,0.0,0.0,1.0,1.0,0.0,0.8112781244562475,True,-0.6064588134818097,0.6064588134818097,0.9064966440200806,0.999930261946561,0.9998848916641099,17.462811209807764,0.31137724550898205,0.6946107784431138,0.7724550898203593,0.9940119760479041,0.5029940119760479,0.8832335329341316,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1369,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.0,0.0,1.0,1.0,0.0,0.8112781244562475,True,-0.6021088948563454,0.6021088948563454,0.931244432926178,0.9993996201370572,0.9991232603079648,16.12099709194383,0.32335329341317365,0.6826347305389222,0.9820359281437125,0.9760479041916168,0.5029940119760479,0.9790419161676647,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1370,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.6125038375670359,0.6125038375670359,0.9241944551467896,0.9840936832688476,0.9999539361037977,27.068294717874963,0.2934131736526946,0.7125748502994012,0.9101796407185628,0.8143712574850299,0.5029940119760479,0.8622754491017963,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1373,4,2.5,5.0,2.5,Mono,Mono,3,1,2,0.9999999999972693,0.9999999999972693,3.0,3.0,0.6666666666666667,0.9463946303544555,True,-1.7278308032806722,1.7278308032806722,0.48815488815307617,-0.9109333171386098,0.29422540803802355,4.636580657074007,0.04790419161676647,0.9580838323353293,0.023952095808383235,0.041916167664670656,0.5029940119760479,0.03293413173652694,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1390,4,2.5,5.0,2.5,Unk_2,Unk_2,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.19458347546316151,0.19458347546316151,0.9120216965675354,0.9831378940500044,0.9999782886594027,24.178152219422476,0.8023952095808383,0.20359281437125748,0.8203592814371258,0.8023952095808383,0.5029940119760479,0.811377245508982,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1398,4,2.5,5.0,2.5,MPP/GMP,MPP/GMP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.19601834586485237,0.19601834586485237,0.8455976843833923,0.880493770103498,0.9988379259184128,13.466125957933137,0.7964071856287425,0.20958083832335328,0.49700598802395207,0.3772455089820359,0.5029940119760479,0.437125748502994,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1400,4,2.5,5.0,2.5,Ery/Meg,Ery/Meg,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.16383527423568978,0.16383527423568978,0.7312825918197632,0.9915041011814235,0.9908450784045413,5.350657383959062,0.844311377245509,0.16167664670658682,0.16766467065868262,0.8802395209580839,0.5029940119760479,0.5239520958083832,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1422,4,2.5,5.0,2.5,Mono,Mono,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.8112781244562475,True,-0.7795135079012769,0.7795135079012769,0.5648967027664185,-0.9686723111652169,0.9897551772446705,4.179950468962441,0.15568862275449102,0.8502994011976048,0.0718562874251497,0.005988023952095809,0.5029940119760479,0.038922155688622756,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1432,4,2.5,5.0,2.5,Lym,Lym,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.8112781244562475,True,-0.04629067374894644,0.04629067374894644,0.6811292767524719,0.8349190899324892,0.9922694956018694,3.4540382303455557,0.9790419161676647,0.02694610778443114,0.1317365269461078,0.1497005988023952,0.5029940119760479,0.1407185628742515,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1435,4,2.5,5.0,2.5,MEP,MEP,3,1,2,0.9999999999972693,0.9999999999972693,3.0,3.0,0.6666666666666667,0.9999999999971146,True,-0.32430974913796184,0.32430974913796184,0.808667778968811,0.8824262867598833,0.9994424423341634,14.899025579147013,0.6347305389221557,0.3712574850299401,0.33532934131736525,0.41317365269461076,0.5029940119760479,0.37425149700598803,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1442,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.47768650224077946,0.47768650224077946,0.8339391350746155,0.8743637717541213,0.9997705865637696,12.522136005989982,0.47305389221556887,0.5329341317365269,0.4550898203592814,0.32934131736526945,0.5029940119760479,0.39221556886227543,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1461,4,2.5,5.0,2.5,MEP,MEP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.31959651415820606,0.31959651415820606,0.817092776298523,0.8788760942962447,0.9996110882745235,17.522883313872953,0.6526946107784432,0.3532934131736527,0.38323353293413176,0.3712574850299401,0.5029940119760479,0.3772455089820359,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1464,4,2.5,5.0,2.5,MPP/GMP,MPP/GMP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9999999999971146,True,-0.34967172075328734,0.34967172075328734,0.8090649247169495,0.8677554968810438,0.9979895284944018,7.097004623062295,0.6107784431137725,0.39520958083832336,0.3413173652694611,0.2934131736526946,0.5029940119760479,0.31736526946107785,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1483,4,2.5,5.0,2.5,Unk_2,Unk_2,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.18647123269366822,0.18647123269366822,0.870424211025238,0.9194968552750368,0.9999893068930615,16.914745480564402,0.8083832335329342,0.19760479041916168,0.5868263473053892,0.5269461077844312,0.5029940119760479,0.5568862275449102,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1484,4,2.5,5.0,2.5,MEP,MEP,3,1,2,0.9999999999972693,0.9999999999972693,3.0,3.0,0.6666666666666667,0.9999999999971146,True,-0.3213228878739643,0.3213228878739643,0.826831042766571,0.8814309093367589,0.9997260368143925,19.630616410738465,0.6467065868263473,0.3592814371257485,0.4251497005988024,0.39520958083832336,0.5029940119760479,0.4101796407185629,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1509,4,2.5,5.0,2.5,Mono,Mono,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.8710101725675603,0.8710101725675603,0.5620702505111694,-0.9012562751128361,0.9902119170038951,4.443958891663791,0.1317365269461078,0.874251497005988,0.0658682634730539,0.04790419161676647,0.5029940119760479,0.056886227544910184,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1519,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.6520154602046709,0.6520154602046709,0.793038547039032,0.8727732790067266,0.9992595585319863,8.845424917576045,0.2634730538922156,0.7425149700598802,0.2994011976047904,0.31137724550898205,0.5029940119760479,0.3053892215568862,"(42.5, 84.0]","(42.5, 84.0]",2.5
