clone_id,clone_size,n_time_points,start_time,end_time,n_lineages
560*NA*NA,36,5,9.0,28.0,1
561*306*NA,1,1,21.0,21.0,1
561*380*NA,2,2,21.0,28.0,1
562*307*NA,1,1,9.0,9.0,1
563*309*NA,6,3,9.0,15.0,1
563*NA*NA,1,1,12.0,12.0,1
567*NA*NA,3,2,12.0,28.0,1
570*568*NA,2,1,12.0,12.0,1
570*NA*NA,2,2,9.0,12.0,1
573*183*NA,1,1,12.0,12.0,1
573*390*NA,1,1,12.0,12.0,1
573*NA*NA,91,5,9.0,28.0,2
576*330*NA,4,2,9.0,12.0,1
577*331*NA,4,2,9.0,12.0,1
577*532*NA,3,1,12.0,12.0,1
577*NA*NA,2,1,12.0,12.0,1
583*343*1,2,1,15.0,15.0,1
583*343*71,1,1,21.0,21.0,1
583*343*NA,93,4,12.0,28.0,2
583*500*65,2,1,21.0,21.0,1
583*500*NA,17,3,12.0,21.0,1
583*529*NA,19,4,12.0,28.0,1
583*NA*NA,4,3,12.0,28.0,1
584*NA*NA,7,3,9.0,15.0,1
586*348*NA,1,1,9.0,9.0,1
586*NA*NA,2,2,12.0,21.0,1
595*NA*NA,22,4,9.0,21.0,1
596*368*NA,4,2,9.0,12.0,1
597*NA*NA,2,2,12.0,15.0,1
600*NA*NA,3,3,9.0,28.0,2
601*346*NA,4,3,9.0,15.0,1
601*378*NA,6,3,9.0,15.0,1
601*547*NA,10,2,12.0,15.0,1
601*NA*NA,2,2,12.0,21.0,1
603*NA*NA,1,1,9.0,9.0,1
605*NA*NA,7,4,9.0,21.0,1
607*NA*126,2,1,21.0,21.0,1
607*NA*NA,27,5,9.0,28.0,1
608*394*NA,27,5,9.0,28.0,1
608*NA*NA,6,4,12.0,28.0,1
613*430*NA,3,2,9.0,15.0,1
613*NA*24,1,1,15.0,15.0,1
613*NA*NA,45,4,9.0,21.0,2
615*NA*NA,2,2,12.0,15.0,1
616*100*NA,2,2,15.0,21.0,1
616*NA*NA,4,3,9.0,21.0,1
619*79*NA,1,1,21.0,21.0,1
620*NA*NA,10,4,9.0,21.0,1
624*NA*NA,3,2,9.0,15.0,1
625*423*NA,3,3,9.0,15.0,2
627*431*NA,3,2,9.0,15.0,1
