seed,variant,density_bin,local_density,empirical_birth_rate_by_density_bin,empirical_death_rate_by_density_bin,empirical_net_growth_rate_by_density_bin,event_count
23,M6_ot_swarm_birth_death,"(10569.625, 14092.5]",0.13011377512342792,0.25,0.75,-0.5,64
23,M6_ot_swarm_birth_death,"(14092.5, 17615.375]",0.1301137751234279,0.4666666666666667,0.5333333333333333,-0.06666666666666667,210
23,M6_ot_swarm_birth_death,"(21138.25, 24661.125]",0.7408265613015553,0.4752851711026616,0.5247148288973384,-0.049429657794676805,263
23,M6_ot_swarm_birth_death,"(3523.875, 7046.75]",0.08911215673124852,0.4777777777777778,0.5222222222222223,-0.044444444444444446,270
23,M7_ot_swarm_birth_death_diffusion,"(14092.5, 17615.375]",0.13011377512342792,0.41605839416058393,0.583941605839416,-0.1678832116788321,274
23,M7_ot_swarm_birth_death_diffusion,"(21138.25, 24661.125]",0.7408265613015553,0.4772727272727273,0.5227272727272727,-0.045454545454545456,264
23,M7_ot_swarm_birth_death_diffusion,"(3523.875, 7046.75]",0.08911215673124852,0.4777777777777778,0.5222222222222223,-0.044444444444444446,270
23,M8_ot_swarm_birth_death_diffusion_cci,"(14092.5, 17615.375]",0.13011377512342792,0.41605839416058393,0.583941605839416,-0.1678832116788321,274
23,M8_ot_swarm_birth_death_diffusion_cci,"(21138.25, 24661.125]",0.7408265613015553,0.4772727272727273,0.5227272727272727,-0.045454545454545456,264
23,M8_ot_swarm_birth_death_diffusion_cci,"(3523.875, 7046.75]",0.08911215673124852,0.4777777777777778,0.5222222222222223,-0.044444444444444446,270
23,M9_full_memory,"(14092.5, 17615.375]",0.13011377512342792,0.41605839416058393,0.583941605839416,-0.1678832116788321,274
23,M9_full_memory,"(21138.25, 24661.125]",0.7408265613015553,0.4772727272727273,0.5227272727272727,-0.045454545454545456,264
23,M9_full_memory,"(3523.875, 7046.75]",0.08911215673124852,0.4777777777777778,0.5222222222222223,-0.044444444444444446,270
42,M10_shuffled_time_ot,"(14092.5, 17615.375]",0.13011377512342787,0.5043103448275862,0.4956896551724138,0.008620689655172414,232
