seed,time,event,parent_index,lineage,variant,step
7,14.5,death,841,erythroid,M3_ot_birth_death,1
7,14.5,death,844,erythroid,M3_ot_birth_death,1
7,14.5,death,852,erythroid,M3_ot_birth_death,1
7,14.5,death,865,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,869,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,872,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,879,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,0,erythroid,M3_ot_birth_death,1
7,14.5,birth,6,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,8,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,29,erythroid,M3_ot_birth_death,1
7,14.5,birth,49,erythroid,M3_ot_birth_death,1
7,14.5,birth,59,neural,M3_ot_birth_death,1
7,14.5,birth,89,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,96,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,99,erythroid,M3_ot_birth_death,1
7,14.5,birth,101,erythroid,M3_ot_birth_death,1
7,14.5,birth,110,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,115,neural,M3_ot_birth_death,1
7,14.5,birth,139,neural,M3_ot_birth_death,1
7,14.5,birth,141,neural,M3_ot_birth_death,1
7,14.5,birth,156,erythroid,M3_ot_birth_death,1
7,14.5,birth,157,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,161,neural,M3_ot_birth_death,1
7,14.5,birth,166,neural,M3_ot_birth_death,1
7,14.5,birth,167,erythroid,M3_ot_birth_death,1
7,14.5,birth,170,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,175,neural,M3_ot_birth_death,1
7,14.5,birth,214,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,218,neural,M3_ot_birth_death,1
7,14.5,birth,220,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,228,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,236,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,242,erythroid,M3_ot_birth_death,1
7,14.5,birth,250,erythroid,M3_ot_birth_death,1
7,14.5,birth,252,neural,M3_ot_birth_death,1
7,14.5,birth,262,erythroid,M3_ot_birth_death,1
7,14.5,birth,264,neural,M3_ot_birth_death,1
7,14.5,birth,276,erythroid,M3_ot_birth_death,1
7,14.5,birth,299,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,308,erythroid,M3_ot_birth_death,1
7,14.5,birth,328,erythroid,M3_ot_birth_death,1
7,14.5,birth,356,neural,M3_ot_birth_death,1
7,14.5,birth,366,erythroid,M3_ot_birth_death,1
7,14.5,birth,367,neural,M3_ot_birth_death,1
7,14.5,birth,368,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,388,erythroid,M3_ot_birth_death,1
7,14.5,birth,414,erythroid,M3_ot_birth_death,1
7,14.5,birth,418,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,421,erythroid,M3_ot_birth_death,1
7,14.5,birth,425,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,434,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,443,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,450,erythroid,M3_ot_birth_death,1
