dataset_id,sampling_strategy,model,outcome,control,control_effect,control_p,negative_control_clean
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,terminal_lineage_entropy,outcome_label_shuffle,-0.04764317557883692,0.7644706893914224,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,terminal_lineage_entropy,exposure_shuffle,0.23184881756337228,0.13956231407671293,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,terminal_lineage_entropy,teacher_velocity_shuffle,-0.0061475065263015384,0.9691786924736983,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_multilineage_score,clone_label_shuffle,-0.027672011411201944,0.8618998548161914,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_multilineage_score,time_label_shuffle,0.11991204944854175,0.4494081934942501,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_multilineage_score,outcome_label_shuffle,0.07379203042987184,0.6423405120149523,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_multilineage_score,exposure_shuffle,-0.15680806466347766,0.32133589793320555,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_multilineage_score,teacher_velocity_shuffle,0.08301603423360582,0.6012019577409893,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_branch_count,clone_label_shuffle,-0.1014640418410738,0.5225814986011459,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_branch_count,time_label_shuffle,-0.25827210650455146,0.09864989927916759,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_branch_count,outcome_label_shuffle,0.1383600570560097,0.3822115013084644,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_branch_count,exposure_shuffle,0.3136161293269553,0.04312778330767367,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_branch_count,teacher_velocity_shuffle,0.2859441179157534,0.0663954580772704,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_fate_diversification_index,clone_label_shuffle,0.04764317557883692,0.7644706893914224,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_fate_diversification_index,time_label_shuffle,0.20572191482659077,0.19120355749956722,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_fate_diversification_index,outcome_label_shuffle,-0.06586614135323077,0.6785593246828627,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_fate_diversification_index,exposure_shuffle,-0.13019540607488614,0.41118758576642234,False
