memory_context,final_fate_belief_delta,diffusion_delta,birth_hazard_delta,death_hazard_delta,branch_probability_shift
erythroid_rich_memory,0.002293458580970764,0.0036010193458515154,0.0,-0.0,0.002293458580970764
erythroid_rich_memory,0.010277402400970458,0.011469441761668975,0.0,-0.0,0.010277402400970458
erythroid_rich_memory,2.172589302062988e-06,8.459396425211308e-06,0.0,-0.0,2.172589302062988e-06
erythroid_rich_memory,0.050000044703483584,2.231514314089577e-07,0.04,-0.04,0.050000044703483584
erythroid_rich_memory,0.00034091770648956297,0.0007348772250291594,0.0,-0.0,0.00034091770648956297
erythroid_rich_memory,4.2915344238281246e-07,1.8920635743786018e-06,0.0,-0.0,4.2915344238281246e-07
erythroid_rich_memory,7.028281688690185e-05,0.00019877934082877344,0.0,-0.0,7.028281688690185e-05
erythroid_rich_memory,8.626878261566162e-05,0.00023954058713922602,0.0,-0.0,8.626878261566162e-05
erythroid_rich_memory,0.0013975918292999268,0.0024993998864459976,0.0,-0.0,0.0013975918292999268
erythroid_rich_memory,0.0010951995849609374,0.0020605910291771174,0.0,-0.0,0.0010951995849609374
erythroid_rich_memory,1.233816146850586e-06,4.978944028384144e-06,0.0,-0.0,1.233816146850586e-06
erythroid_rich_memory,0.002782541513442993,0.004314646864286324,0.0,-0.0,0.002782541513442993
erythroid_rich_memory,5.33759593963623e-06,1.9305405883251873e-05,0.0,-0.0,5.33759593963623e-06
