dataset,tf,target,rank,target_source,signed_prior,correlation_proxy
E1_MouseGastrulationData,Sox2,Dkk1,6,pathwayfinder_omnipath_prior,1.0,-0.1292763742608446
E1_MouseGastrulationData,Sox2,Hoxb1,7,pathwayfinder_omnipath_prior,1.0,-0.13793006044663805
E1_MouseGastrulationData,Sox2,Birc5,8,pathwayfinder_omnipath_prior,1.0,-0.10076578423391898
E1_MouseGastrulationData,Sox2,Ctnnb1,9,pathwayfinder_omnipath_prior,1.0,
E1_MouseGastrulationData,Sox2,Lin28a,10,pathwayfinder_omnipath_prior,1.0,-0.01358112585305981
E1_MouseGastrulationData,T,Sp5,1,coexpression_fallback,1.0,0.6300750917348037
E1_MouseGastrulationData,T,Rbp1,2,coexpression_fallback,1.0,0.5592990568246555
E1_MouseGastrulationData,T,Hes7,3,coexpression_fallback,1.0,0.5497469922147588
E1_MouseGastrulationData,T,Gal,4,coexpression_fallback,1.0,0.537338864270547
E1_MouseGastrulationData,T,Mixl1,5,coexpression_fallback,1.0,0.5322353203648744
E1_MouseGastrulationData,T,Foxj1,6,coexpression_fallback,1.0,0.4950733860395384
E1_MouseGastrulationData,T,Hoxb1,7,coexpression_fallback,1.0,0.4857626355051389
E1_MouseGastrulationData,T,Pifo,8,coexpression_fallback,1.0,0.4786048280817901
E1_MouseGastrulationData,T,Cfap126,9,coexpression_fallback,1.0,0.47733768762369644
E1_MouseGastrulationData,T,Tppp3,10,coexpression_fallback,1.0,0.45482072453358724
E1_MouseGastrulationData,Mixl1,T,1,coexpression_fallback,1.0,0.5392265292233118
E1_MouseGastrulationData,Mixl1,Hoxb1,2,coexpression_fallback,1.0,0.43290046399883864
E1_MouseGastrulationData,Mixl1,Frzb,3,coexpression_fallback,1.0,0.41986637011319594
E1_MouseGastrulationData,Mixl1,Grsf1,4,coexpression_fallback,1.0,0.41339400916877567
E1_MouseGastrulationData,Mixl1,Cited1,5,coexpression_fallback,1.0,0.4002398925164649
E1_MouseGastrulationData,Mixl1,Dll3,6,coexpression_fallback,1.0,0.38754997207217085
