native_max_cells_per_time,epsilon,source_time,target_time,plan_shape,n_source,n_target,converged,transport_mass,source_mass_cv,target_mass_cv,mean_entropy,transport_cost,lineage_edge_mass_js_vs_reference
500,0.08,17.0,18.0,500x500,500,500,True,0.9999999973953246,3.19689694523989e-07,0.001055017091339743,0.7018511891365051,0.4004548490047455,0.001178374741822256
500,0.08,16.0,17.0,500x500,500,500,False,1.0000000027401574,3.361580247208683e-07,0.0011232841172161092,0.7104995250701904,0.4018232226371765,0.0006184315726775985
500,0.12,13.0,14.0,500x500,500,500,True,0.9999999984663205,4.062203272138045e-07,0.0009596702886602499,0.7879075407981873,0.4567547142505646,0.0021632461497535158
500,0.12,12.0,13.0,500x500,500,500,True,0.9999999973954885,3.562355726466563e-07,0.0010325077400748577,0.7947651147842407,0.4911547601222992,0.001730389271250719
500,0.12,14.0,16.0,500x500,500,500,True,1.0000000005811078,3.4751385037433145e-07,0.0009858992649160704,0.8009476065635681,0.4903355538845062,0.0031090592342978758
500,0.12,18.0,19.0,500x500,500,500,True,1.0000000051880398,3.6763876230719083e-07,0.0009448979191336665,0.7620777487754822,0.4807108044624328,0.0026320930023067866
500,0.12,17.0,18.0,500x500,500,500,True,1.0000000129956679,2.8944675397160573e-07,0.0009922136180693984,0.7660707831382751,0.4658093452453613,0.0015896515100888332
500,0.12,16.0,17.0,500x500,500,500,True,1.0000000152485913,3.1215943037158235e-07,0.0009513391800456472,0.7784779071807861,0.4644929468631744,0.001453404798495561
650,0.04,13.0,14.0,650x650,650,650,True,1.0000000032006027,5.347498666063502e-07,0.0012572217286007986,0.5770289301872253,0.3087439835071563,0.0024807030287902765
650,0.04,12.0,13.0,650x650,650,650,False,0.999999998751747,6.37466070251866e-07,0.0023953614609371213,0.6113091707229614,0.3544989228248596,0.0035173180996792503
650,0.04,14.0,16.0,650x650,650,650,True,1.0000000008936232,6.488214370853957e-07,0.0009914518909154896,0.5970150232315063,0.3525995314121246,0.0018955128286114054
650,0.04,18.0,19.0,650x650,650,650,False,0.9999999948492865,6.456402139707275e-07,0.005629318536209393,0.5702812075614929,0.3208434581756592,0.001572875156661371
650,0.04,17.0,18.0,650x650,650,650,False,0.9999999952580674,5.111585096473404e-07,0.0028447461246802843,0.5791490077972412,0.3176489770412445,0.0058157121651384435
650,0.04,16.0,17.0,650x650,650,650,False,1.0000000001151261,5.008202449466964e-07,0.004670869231153977,0.5832589864730835,0.3166521489620209,0.00222067413785764
650,0.08,13.0,14.0,650x650,650,650,True,1.0000000093402295,3.581594519368553e-07,0.0005216663070249687,0.7231293320655823,0.3966649174690246,0.00015937785705046905
650,0.08,12.0,13.0,650x650,650,650,True,0.9999999991502295,3.8283309999510983e-07,0.0010308751483632773,0.7419443726539612,0.4357996582984924,0.0003626541169042248
650,0.08,14.0,16.0,650x650,650,650,True,0.9999999987385332,3.768315865819318e-07,0.0009803113090527825,0.7394328117370605,0.435732752084732,0.0003230736500203639
650,0.08,18.0,19.0,650x650,650,650,True,0.9999999994922711,3.9678819058890224e-07,0.0010157168968016647,0.7044878005981445,0.4120548367500305,0.0008184544339064469
650,0.08,17.0,18.0,650x650,650,650,True,0.9999999976439679,3.422737641640516e-07,0.0010201694332890292,0.7130408883094788,0.4065927267074585,0.0012897935415397412
650,0.08,16.0,17.0,650x650,650,650,True,0.9999999984310837,3.583842681507467e-07,0.0010168217182823212,0.725886344909668,0.4034125208854675,0.0003070870364207647
650,0.12,13.0,14.0,650x650,650,650,True,0.9999999985086756,3.6051010648561416e-07,0.0010044091135245003,0.7934741973876953,0.4583644270896911,0.0017181203102730608
650,0.12,12.0,13.0,650x650,650,650,True,1.0000000104691777,3.6242151559727224e-07,0.0010482437546848907,0.804111897945404,0.4937648773193359,0.0018789122139668537
650,0.12,14.0,16.0,650x650,650,650,True,1.0000000033254075,3.9290709678680784e-07,0.000978024243286899,0.8051703572273254,0.4938296377658844,0.0021289846427277877
650,0.12,18.0,19.0,650x650,650,650,True,1.0000000028710039,3.7722161604411826e-07,0.0009387564377914463,0.7664734125137329,0.4798285365104675,0.002799185277025998
650,0.12,17.0,18.0,650x650,650,650,True,1.0000000006482026,3.6541126718451605e-07,0.0010548734447738996,0.7749224901199341,0.4721486270427704,0.0015878955493809775
650,0.12,16.0,17.0,650x650,650,650,True,1.0000000105590057,3.3228499591180457e-07,0.001053931620122515,0.7912201285362244,0.4650919735431671,0.001971885156149198
