tf_name,devvcell_system,stage,stage_num,target_stage,response_amplitude,fate_displacement,recovery_cost,recovery_probability,alignment_with_normal_transition,devvcell_priority_score,rescue_candidate,best_rescue_fraction,rescue_candidate_status,matched_global_grn_targets,matched_system_targets
Eya1,neural,Theiler stage 15,15,Theiler stage 16,0.3137659430503845,0.3137659132480621,0.3031320812115015,0.2974442921386498,-0.0329781807959079,0.6874957220103752,Eya2,0.0338910645798657,observed_in_rescue_table,10,8
Zbtb16,neural,Theiler stage 13,13,Theiler stage 14,0.3127177953720093,0.3127178251743316,0.3127177953720093,0.2862553078758033,0.0826125368475914,0.532417423355394,not_observed,0.0,not_observed,10,7
Rfx4,mesoderm_muscle,Theiler stage 14,14,Theiler stage 15,0.3110340237617492,0.3110340237617492,0.2459649738398779,0.3738652295298538,-0.01358497235924,0.7101176189887484,Satb1,0.209202353925479,observed_in_rescue_table,10,0
Nrg1,mesoderm_muscle,Theiler stage 14,14,Theiler stage 15,0.3110213577747345,0.3110213577747345,0.3110213577747345,0.2882043703895203,-0.1704984456300735,0.562445635633383,not_observed,0.0,not_observed,10,13
Nrg1,neural,Theiler stage 18,18,Theiler stage 19,0.3104501962661743,0.3104501664638519,0.3104501962661743,0.2888635680913598,0.1259588003158569,0.562445635633383,not_observed,0.0,not_observed,10,4
Nrg1,erythroid,Theiler stage 16,16,Theiler stage 17,0.3094522058963775,0.3094522655010223,0.3094522058963775,0.2900190050233868,-0.0361616425216198,0.562445635633383,not_observed,0.0,not_observed,10,17
Lef1,mesoderm_muscle,Theiler stage 15,15,Theiler stage 16,0.3080567419528961,0.3080568015575409,0.3080567419528961,0.2916423757768714,-0.0173081327229738,0.6669700902954203,not_observed,0.0,not_observed,10,22
Eya1,mesoderm_muscle,Theiler stage 18,18,Theiler stage 19,0.3079030811786651,0.3079030215740204,0.2974679179700994,0.304260306714546,0.1472881734371185,0.6874957220103752,Eya2,0.0338910645798657,observed_in_rescue_table,10,22
Pax3,neural,Theiler stage 13,13,Theiler stage 14,0.3075688183307647,0.3075688183307647,0.3075688183307647,0.2922121284049734,0.0336374565958976,0.5626863715216118,not_observed,0.0,not_observed,10,6
Satb2,mesoderm_muscle,Theiler stage 14,14,Theiler stage 15,0.3064069449901581,0.3064069151878357,0.2692105891808011,0.3406695419611296,0.0891363695263862,0.8485568526711808,Zbtb16,0.1213952765024686,observed_in_rescue_table,10,33
Eya4,mesoderm_muscle,Theiler stage 13,13,Theiler stage 14,0.3063382804393768,0.3063382506370544,0.3063382804393768,0.2936539864010122,-0.1942550390958786,0.5801603409284204,not_observed,0.0,not_observed,10,23
Rfx4,mesoderm_muscle,Theiler stage 16,16,Theiler stage 17,0.304720938205719,0.304720938205719,0.2409726006427021,0.3814061723395908,0.1916589140892028,0.7101176189887484,Satb1,0.209202353925479,observed_in_rescue_table,10,0
Otx2,erythroid,Theiler stage 14,14,Theiler stage 15,0.303512841463089,0.3035129308700561,0.303512841463089,0.2969916170934503,-0.0207622330635786,0.5197067146592651,not_observed,0.0,not_observed,10,0
Lef1,erythroid,Theiler stage 17,17,Theiler stage 18,0.3025518953800201,0.3025518953800201,0.3025518953800201,0.2981353856095683,0.0316454097628593,0.6669700902954203,not_observed,0.0,not_observed,10,24
Eya4,neural,Theiler stage 14,14,Theiler stage 15,0.3020355105400085,0.3020354807376861,0.3020355105400085,0.2987518324115639,-0.006773208733648,0.5801603409284204,not_observed,0.0,not_observed,10,5
Glis3,erythroid,Theiler stage 14,14,Theiler stage 15,0.3017430007457733,0.3017430305480957,0.3017430007457733,0.2991015883338329,-0.0535185299813747,0.5658900407020623,not_observed,0.0,not_observed,10,0
Nrg1,neural,Theiler stage 16,16,Theiler stage 17,0.300710380077362,0.3007103204727173,0.300710380077362,0.3003395772478867,-0.1848732382059097,0.562445635633383,not_observed,0.0,not_observed,10,4
Lef1,neural,Theiler stage 15,15,Theiler stage 16,0.2992994487285614,0.299299418926239,0.2992994487285614,0.3020394035116596,0.1022020801901817,0.6669700902954203,not_observed,0.0,not_observed,10,3
Nrg1,mesoderm_muscle,Theiler stage 15,15,Theiler stage 16,0.2987833023071289,0.2987833023071289,0.2987833023071289,0.3026636339075136,-0.1200402826070785,0.562445635633383,not_observed,0.0,not_observed,10,13
Zbtb16,erythroid,Theiler stage 16,16,Theiler stage 17,0.2987142503261566,0.298714280128479,0.2987142503261566,0.3027472435477629,-0.0398710034787654,0.532417423355394,not_observed,0.0,not_observed,10,26
Lef1,mesoderm_muscle,Theiler stage 18,18,Theiler stage 19,0.2980773448944092,0.2980775237083435,0.2980773448944092,0.3035195123098573,0.1524283289909362,0.6669700902954203,not_observed,0.0,not_observed,10,22
Rfx4,mesoderm_muscle,Theiler stage 17,17,Theiler stage 18,0.2979050278663635,0.2979050278663635,0.2355825947904848,0.3897185842523301,-0.0154194012284278,0.7101176189887484,Satb1,0.209202353925479,observed_in_rescue_table,10,0
Satb1,erythroid,Theiler stage 14,14,Theiler stage 15,0.2973345816135406,0.2973345518112182,0.2380820182291239,0.3858417093926388,-0.0050406171940267,0.5203752443922943,Glis3,0.1992790850726875,observed_in_rescue_table,10,23
Eya1,mesoderm_muscle,Theiler stage 17,17,Theiler stage 18,0.2965047657489776,0.2965047657489776,0.2864559035847411,0.3179619319111984,0.2805243134498596,0.6874957220103752,Eya2,0.0338910645798657,observed_in_rescue_table,10,22
Lef1,erythroid,Theiler stage 18,18,Theiler stage 19,0.294090986251831,0.2940910458564758,0.294090986251831,0.3083980547070261,0.0299667716026306,0.6669700902954203,not_observed,0.0,not_observed,10,24
Rfx4,neural,Theiler stage 16,16,Theiler stage 17,0.2934237122535705,0.2934237122535705,0.2320387809525711,0.3952822849757532,0.2290167212486267,0.7101176189887484,Satb1,0.209202353925479,observed_in_rescue_table,10,0
Eya1,mesoderm_muscle,Theiler stage 16,16,Theiler stage 17,0.289704293012619,0.2897043526172638,0.279885906109064,0.3264287347319767,0.3565516173839569,0.6874957220103752,Eya2,0.0338910645798657,observed_in_rescue_table,10,22
Rfx4,neural,Theiler stage 15,15,Theiler stage 16,0.289616584777832,0.2896166145801544,0.2290281135064515,0.4000713174963156,0.0614478439092636,0.7101176189887484,Satb1,0.209202353925479,observed_in_rescue_table,10,0
Eya4,mesoderm_muscle,Theiler stage 14,14,Theiler stage 15,0.2889086902141571,0.2889086604118347,0.2889086902141571,0.3148576141696769,-0.268221914768219,0.5801603409284204,not_observed,0.0,not_observed,10,23
Pax3,neural,Theiler stage 18,18,Theiler stage 19,0.2879135608673095,0.2879135012626648,0.2879135608673095,0.3161134080740467,0.0945467576384544,0.5626863715216118,not_observed,0.0,not_observed,10,6
Eya4,mesoderm_muscle,Theiler stage 15,15,Theiler stage 16,0.2876228392124176,0.2876228094100952,0.2876228392124176,0.3164812259503552,-0.1314093470573425,0.5801603409284204,not_observed,0.0,not_observed,10,23
Nrg1,neural,Theiler stage 17,17,Theiler stage 18,0.2868400514125824,0.2868401706218719,0.2868400514125824,0.3174737295490911,-0.1065266579389572,0.562445635633383,not_observed,0.0,not_observed,10,4
