model,condition,gene,context,perturbation_label,n_pairs,pair_latent_mse,centroid_latent_mse,effect_cosine,rbf_mmd,condition_mean_pair_latent_mse,condition_centered_pair_latent_mse
gene_context_shift,NFKB1|unstimulated|NFKB1_2,NFKB1,unstimulated,NFKB1_2,220,0.4996916651725769,0.0153173441067337,0.350110650062561,0.1101134419441223,0.36098282039165497,0.13870884478092194
gene_context_shift,NFKB2|stimulated|NFKB2_2,NFKB2,stimulated,NFKB2_2,220,0.8489606380462646,0.0189732853323221,0.1809649318456649,0.0847998261451721,0.632004463672638,0.2169561743736267
gene_context_shift,NFKB2|unstimulated|NFKB2_2,NFKB2,unstimulated,NFKB2_2,220,0.6266375780105591,0.0266575925052166,-0.0638378709554672,0.1087828278541565,0.4921493411064148,0.1344882369041443
gene_context_shift,NR4A1|stimulated|NR4A1_2,NR4A1,stimulated,NR4A1_2,170,0.9281195998191832,0.041482850909233,-0.1177023723721504,0.0761556029319763,0.7573366045951844,0.17078299522399887
gene_context_shift,PTPN11|stimulated|PTPN11_2,PTPN11,stimulated,PTPN11_2,220,1.1927578449249268,0.0273465774953365,0.3659533858299255,0.074273943901062,0.8686555206775666,0.3241023242473602
gene_context_shift,PTPN11|unstimulated|PTPN11_2,PTPN11,unstimulated,PTPN11_2,220,0.6280659437179565,0.011604068800807,0.1377855241298675,0.1065546870231628,0.43938708305358887,0.18867886066436768
gene_context_shift,PTPN6|stimulated|PTPN6_2,PTPN6,stimulated,PTPN6_2,220,1.2445406913757324,0.0306853931397199,0.2166567742824554,0.1066128611564636,0.8789913177490234,0.36554937362670903
gene_context_shift,PTPN6|unstimulated|PTPN6_2,PTPN6,unstimulated,PTPN6_2,220,0.4696261286735534,0.0120124947279691,0.1463313549757003,0.1288483142852783,0.31928043514490123,0.15034569352865218
gene_context_shift,RELA|stimulated|RELA_2,RELA,stimulated,RELA_2,220,0.6130048036575317,0.0096756443381309,0.4399711787700653,0.0916694402694702,0.4360369324684143,0.17696787118911744
gene_context_shift,RELA|unstimulated|RELA_2,RELA,unstimulated,RELA_2,189,0.8601846098899841,0.0220196153968572,0.2141021192073822,0.1168725490570068,0.6490939617156982,0.2110906481742859
gene_context_shift,RUNX2|stimulated|RUNX2_2,RUNX2,stimulated,RUNX2_2,220,0.9776240587234496,0.0278500653803348,0.1256299018859863,0.10196453332901,0.6799453556537628,0.2976787030696868
gene_context_shift,RUNX2|unstimulated|RUNX2_2,RUNX2,unstimulated,RUNX2_2,220,0.6372131109237671,0.0106392670422792,0.3738295137882232,0.1077069044113159,0.4659282833337784,0.1712848275899887
gene_context_shift,ZAP70|stimulated|ZAP70_2,ZAP70,stimulated,ZAP70_2,220,0.7788337469100952,0.0464064478874206,0.0489924699068069,0.1463043093681335,0.5488184690475464,0.23001527786254883
gene_context_shift,ZAP70|unstimulated|ZAP70_2,ZAP70,unstimulated,ZAP70_2,220,0.6464543342590332,0.0154289519414305,0.3946144878864288,0.0843271613121032,0.4854621231555939,0.1609922111034393
gene_context_ridge_residual,DOK2|stimulated|DOK2_2,DOK2,stimulated,DOK2_2,220,0.2139375656843185,0.0062578078359365,0.7408236861228943,0.0353196859359741,0.6188226252794266,-0.40488505959510807
gene_context_ridge_residual,DOK2|unstimulated|DOK2_2,DOK2,unstimulated,DOK2_2,220,0.2023344039916992,0.0070038950070738,0.6139784455299377,0.0444108843803405,0.47847645580768583,-0.2761420518159866
gene_context_ridge_residual,EGR1|stimulated|EGR1_2,EGR1,stimulated,EGR1_2,220,0.1312776058912277,0.0056270486675202,0.7006245851516724,0.0357881188392639,0.6749169260263443,-0.5436393201351166
gene_context_ridge_residual,EGR1|unstimulated|EGR1_2,EGR1,unstimulated,EGR1_2,220,0.2623168230056762,0.0101892305538058,0.3652693033218384,0.0550643801689147,0.5243554174900055,-0.26203859448432926
gene_context_ridge_residual,EGR2|stimulated|EGR2_2,EGR2,stimulated,EGR2_2,220,0.2007040232419967,0.0083538424223661,0.5173194408416748,0.0673887729644775,0.4514760047197342,-0.2507719814777375
gene_context_ridge_residual,EGR2|unstimulated|EGR2_2,EGR2,unstimulated,EGR2_2,220,0.2026167809963226,0.0079223476350307,0.3859217166900635,0.0530189871788024,0.45357854962348937,-0.2509617686271668
gene_context_ridge_residual,EGR3|stimulated|EGR3_2,EGR3,stimulated,EGR3_2,220,0.2840827107429504,0.0118217458948493,0.302599161863327,0.0710340738296508,0.5626832127571106,-0.27860050201416026
gene_context_ridge_residual,EGR3|unstimulated|EGR3_2,EGR3,unstimulated,EGR3_2,220,0.2600600719451904,0.0129314381629228,0.2875813543796539,0.076566457748413,0.4896995067596436,-0.2296394348144532
gene_context_ridge_residual,EGR4|stimulated|EGR4_2,EGR4,stimulated,EGR4_2,220,0.2593297362327575,0.0081964936107397,0.531755805015564,0.0578283071517944,0.5733524680137634,-0.31402273178100587
