cohort,normality_class,module_name,mean_residual,mean_abs_residual,median_abs_residual,max_abs_residual,n_records,n_cells
Tal1_chimera,within_stage_normal,cell_cycle,-0.0020216743675960857,0.03758489682819731,0.0286498099563943,0.1845658181719778,21,16286
Tal1_chimera,within_stage_normal,endothelial,-0.016265152263641818,0.036737863982116904,0.0060936435068693,0.351761999259237,21,16286
Tal1_chimera,within_stage_normal,apoptosis,-0.00913813931752209,0.027764123144337807,0.0206091674801952,0.1438719796504678,21,16286
Tal1_chimera,within_stage_normal,intermediate,-0.0010229104007273043,0.023925883443942635,0.0129126812479946,0.1240873636826063,21,16286
Tal1_chimera,within_stage_normal,stress,-0.011570973463568644,0.022492195584560965,0.0183525959674426,0.0635638298301368,21,16286
Tal1_chimera,within_stage_normal,extraembryonic_mesoderm,0.0021245016867586764,0.021340523635705468,0.012816995495992,0.0674168183329193,21,16286
Tal1_chimera,within_stage_normal,wnt_response,-0.0026513314803144864,0.019999361289159925,0.0122408711167124,0.0830701057500459,21,16286
Tal1_chimera,within_stage_normal,haematoendothelial,0.0007107665041218383,0.01900374074067978,0.0057153766875781,0.1279038203629034,21,16286
Tal1_chimera,within_stage_normal,neural,0.000876654137009919,0.015497341221679775,0.0065299627121302,0.0927877442099106,21,16286
Tal1_chimera,within_stage_normal,cardiac,-0.0005764898553268666,0.010386745063305638,0.004711246272395,0.0449747002907561,21,16286
Tal1_chimera,within_stage_normal,paraxial_mesoderm,0.002924804613791781,0.010055181641483257,0.0047274547228557,0.042009648004265,21,16286
Tal1_chimera,within_stage_normal,mesoderm,0.0004977922681981523,0.009557667100922991,0.0027719956496654,0.0782288521508204,21,16286
