clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_multilineage_score,clone_branch_count,clone_fate_diversification_index,clone_reprogramming_success_split,clone_state_transition_entropy,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure
1213,5,2.5,5.0,2.5,Neutro,0.0,0.0,1,1,0.0,,0.0,3,2.5,2,-1.7676403287788496,-3.7516160504175406,-1.7676403287788496,1.0000000000000002,1.0,10.212264545968752,4.929592815663897,0.6448481724674879
1214,10,2.5,5.0,2.5,MPP,0.9462651872186942,0.9462651872186942,5,5,0.6666666666666667,,0.9138646883822148,9,2.5,10,-0.12358318293756614,-6.086812795036692,-1.5640386392781513,1.0000000000000002,1.0,16.13831970327861,6.304485245928796,0.43199408966313674
1215,21,2.5,5.0,2.5,MEP,0.6680801271840205,0.6680801271840205,4,4,0.35,,0.6670012765016142,20,2.5,21,-1.813779827954156,-4.700349607643813,-2.403621600845646,1.0000000000000002,1.0,20.442399671431552,4.88320450151995,-0.2724520923012029
1216,7,2.5,5.0,2.5,MPP,0.7219280948844771,0.7219280948844771,2,2,0.19999999999999996,,0.8631205685637457,5,2.5,2,-1.4822502282760721,-6.42608749060178,-2.3185442957130356,1.0000000000000002,1.0,6.28789433404903,5.590273930366777,-0.07558514483698142
1218,8,2.5,5.0,2.5,MPP/GMP,0.9591479170243595,0.9591479170243595,4,4,0.6666666666666667,,0.8749999999971146,6,2.5,2,-0.18077855534686416,-5.747730156644263,-3.5644392872996606,1.0000000000000002,1.0,5.416271836952615,7.70413667580363,0.6877208836782733
1219,6,2.5,5.0,2.5,MEP,0.9709505944517833,0.9709505944517833,2,2,0.4,,0.9206198357115741,5,2.5,6,-1.0215063963941569,-5.136902546170361,-1.8987285136238004,1.0000000000000002,1.0,21.52523875749718,5.787994387245008,-0.28662259252666916
122,14,5.0,5.0,0.0,Mono,0.8052886216629357,0.8052886216629357,4,4,0.4285714285714286,,0.8052886216629357,14,2.5,14,-0.581558312429005,-5.150837674417709,-2.752676395705962,1.0000000000000002,1.0,20.302029918053638,5.150837674417709,0.6256497328926357
1220,6,2.5,5.0,2.5,Unk_2,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.9591479170243595,3,2.5,3,-0.21556507196416716,-1.5834407761198726,-1.2122963054091427,1.0000000000000002,1.0,12.575392111128153,5.213022971142823,0.9805099857710511
1222,6,2.5,5.0,2.5,Unk_2,0.7219280948844771,0.7219280948844771,2,2,0.19999999999999996,,0.7896900821401168,5,2.5,6,-1.0891933225657733,-4.578255543485482,-1.0891933225657733,1.0000000000000002,1.0,23.571331402349614,5.218079040297106,-0.3135412424103485
1226,6,2.5,5.0,2.5,MEP,0.9602297178580305,0.9602297178580305,3,3,0.6,,0.9591479170243595,5,2.5,6,-1.4433355270265011,-3.4714609577437194,-2.8357248681541503,1.0000000000000002,1.0,15.550549003793948,4.120568393694829,0.35781548556659554
1232,36,2.5,5.0,2.5,Neutro,0.8092316768108695,0.8092316768108695,6,6,0.5,,0.778650329361358,34,2.5,2,-2.714724915262047,-6.17617356494628,-2.714724915262047,1.0000000000000002,1.0,11.156855354559916,5.399384661829986,-0.04004848348401008
1234,10,2.5,5.0,2.5,Mono,0.591672778579442,0.591672778579442,2,2,0.1428571428571429,,0.581671865715156,7,2.5,3,-1.1234087090753453,-5.07298056390322,-3.8438858853250983,1.0000000000000002,1.0,3.959115208529472,3.7500758737687163,-0.006066117672025084
1237,5,2.5,5.0,2.5,Unk_2,0.9463946303544555,0.9463946303544555,3,3,0.5,,0.9602297178580305,4,2.5,5,-2.039234030719588,-3.693839313794432,-2.6945427153809662,1.0000000000000002,1.0,14.664783462605323,4.438974153136812,0.2646272781660675
1239,10,2.5,5.0,2.5,Neutro,0.8112781244562475,0.8112781244562475,2,2,0.25,,0.7219280948844771,8,2.5,2,-1.289744402329461,-2.1894370066501763,-1.289744402329461,1.0000000000000002,1.0,14.23794830767306,3.865689824449768,0.8429287539366185
1240,14,2.5,5.0,2.5,MPP,0.39124356362637025,0.39124356362637025,2,2,0.07692307692307687,,0.4634367823219362,13,2.5,14,-1.6473311287790522,-2.467765684876337,-2.6601845168110243,1.0000000000000002,1.0,15.558477840016664,2.7276938401134108,-0.4315857194485945
1241,9,2.5,5.0,2.5,MPP,0.591672778579442,0.591672778579442,2,2,0.1428571428571429,,0.7233083338112187,7,2.5,2,-0.15860511114821554,-3.272787178625978,-0.9535857494677121,1.0000000000000002,1.0,7.856036033694111,7.079369047638829,0.9856216001077118
1243,9,2.5,5.0,2.5,Unk_2,0.905639062226681,0.905639062226681,4,4,0.625,,0.9101415926448737,8,2.5,9,-1.299690305659093,-6.008655898657245,-3.1489089069216396,1.0000000000000002,1.0,18.578736193385602,6.446569039342631,-0.2017651750534954
1245,7,2.5,5.0,2.5,MPP,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.8631205685637457,6,2.5,7,-0.07793273176286841,-5.916302971021742,-2.8565961978608208,1.0000000000000002,1.0,13.05735544020096,6.442202251476835,0.8670259828557588
1246,5,2.5,5.0,2.5,Ery/Meg,0.0,0.0,1,1,0.0,,0.0,4,2.5,5,-0.5024935880559808,-8.911206789119076,-0.7289567983672159,1.0000000000000002,1.0,16.794420297026228,9.689804773318095,0.9752078820987755
1247,23,2.5,5.0,2.5,MEP,0.7549843063155232,0.7549843063155232,4,4,0.4285714285714286,,0.7773262467135729,21,2.5,2,-0.10429950181205633,-1.5962213965783896,-2.5606479095003474,1.0000000000000002,1.0,10.126232848786092,5.378455448298654,0.9900892634121541
1253,6,2.5,5.0,2.5,Neutro,0.9463946303544555,0.9463946303544555,3,3,0.5,,0.9591479170243595,4,2.5,2,-0.7692223994779137,-4.796490793065514,-1.4388900446989625,1.0000000000000002,1.0,11.463852634939972,4.8649113433264555,0.42040004254039054
1255,28,2.5,5.0,2.5,MPP,0.8517781434869428,0.8517781434869428,7,7,0.6538461538461539,,0.8635083270887545,26,2.5,2,-0.10263978739955969,-4.390429687806554,-2.523862411105236,1.0000000000000002,1.0,14.517473623019027,6.864016887890894,0.8350934708341919
1258,14,2.5,5.0,2.5,MEP,0.8690746665935477,0.8690746665935477,4,4,0.5384615384615384,,0.8549912206145825,13,2.5,14,-0.44942289004299935,-3.577322048441109,-3.2176632210139613,1.0000000000000002,1.0,14.754126770285934,3.8586788668449055,-0.11413652901251427
1261,8,2.5,5.0,2.5,Neutro,0.8631205685637457,0.8631205685637457,2,2,0.2857142857142857,,0.8112781244562475,7,2.5,8,-1.1666048875669641,-5.162886605399502,-1.4964682244705991,1.0000000000000002,1.0,14.221193087429384,5.343356308123653,0.30473064628333973
1263,5,2.5,5.0,2.5,Unk_2,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.9609640474407958,3,2.5,2,-1.1183021124483978,-3.586807241623495,-2.298336561803206,1.0000000000000002,1.0,10.679517500609492,6.70965011119031,0.895874067267246
1265,10,2.5,5.0,2.5,MEP,0.9999999999972693,0.9999999999972693,3,3,0.6666666666666667,,0.9477309221162756,9,2.5,10,-0.9888454169369425,-5.118546601873886,-2.913205942306048,1.0000000000000002,1.0,17.92161692600474,5.506559512624259,0.9587235747099813
1273,10,2.5,5.0,2.5,MPP,0.8783471047591227,0.8783471047591227,3,3,0.5555555555555556,,0.8586727110705242,9,2.5,10,-0.7700592069531451,-6.824502759667555,-2.083574160096737,1.0000000000000002,1.0,13.748213475122451,7.042147077366096,0.5837291663992603
1276,22,2.5,5.0,2.5,MEP,0.6454645236483967,0.6454645236483967,3,3,0.23809523809523814,,0.6216501842665935,21,2.5,22,-0.13580944385319318,-5.680453769345025,-2.8943800358035165,1.0000000000000002,1.0,15.175893270542787,5.859584097158387,0.8621916246705098
1277,5,2.5,5.0,2.5,MEP,0.8112781244562475,0.8112781244562475,2,2,0.25,,0.8649735207151964,4,2.5,5,-1.9539233490301755,-2.3366094321104143,-2.1743927095164066,1.0000000000000002,1.0,19.076535803684582,3.115897155695946,-0.12378060382221967
1279,10,2.5,5.0,2.5,Unk_2,0.8527924884873097,0.8527924884873097,3,3,0.4444444444444444,,0.8427376486107818,9,2.5,10,-1.1230771237232333,-5.161057264366517,-1.4081925881202335,1.0000000000000002,1.0,20.87475032605381,5.513172385867234,0.03327746032483027
