clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_multilineage_score,clone_branch_count,clone_fate_diversification_index,clone_reprogramming_success_split,clone_state_transition_entropy,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure
2223,21,4.0,6.0,2.0,undiff,0.7835807040460789,0.7835807040460789,3,3,0.33333333333333337,,0.8282494712068892,15,2,21,-0.6165528808324573,-2.447995985390506,-0.6165528808324573,1.0,0.2872987817551464,3455.2487381857263,2.6986108325928835,0.11191619927355204
2224,57,2.0,6.0,4.0,undiff,0.3227569588945129,0.3227569588945129,2,2,0.05882352941176472,,0.9942314682472769,17,2,57,-3.0554063158692646,-4.510832022828685,-3.0554063158692646,0.9999999999999999,0.337419395841658,1382.5132074181354,4.918983100583735,0.19175979410051316
2225,30,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.6500224216454689,25,2,30,-0.9282562530706717,-2.7033420265550445,-0.9282562530706717,1.0,0.26774634237441036,5073.478546128772,2.8970299617514046,-0.036218426488962965
2226,16,4.0,6.0,2.0,undiff,0.4138168503007484,0.4138168503007484,2,2,0.08333333333333337,,0.896038232531672,12,2,16,-1.291573782758771,-2.788595758155143,-1.291573782758771,1.0,0.2566129620098148,3040.7609525369144,3.004627274997056,0.051592238383430605
2228,7,6.0,6.0,0.0,Monocyte,0.0,0.0,1,1,0.0,,0.0,7,2,7,-0.08975767187001764,-2.282681898831364,-0.08975767187001764,1.0,0.2626495351628339,4078.4728442810074,2.282681898831364,-0.12547023490811476
2231,9,4.0,6.0,2.0,undiff,0.591672778579442,0.591672778579442,2,2,0.1428571428571429,,0.7642045065057349,7,2,9,-1.0280798593465734,-2.848192017391776,-1.0280798593465734,1.0,0.30184155518755484,2458.3603120882,3.0870101389879103,0.07144132442762496
2232,17,2.0,6.0,4.0,undiff,0.8071654175767473,0.8071654175767473,4,4,0.5384615384615384,,0.7252337317013893,13,2,2,-2.6260777102645276,-2.542283272727606,-2.6260777102645276,0.9999999999999998,0.40526036964831363,1.7967180656290327,3.4582763180338087,0.3684108948113436
2235,7,2.0,6.0,4.0,undiff,0.9206198357115741,0.9206198357115741,3,3,0.5,,0.9141008920158344,6,2,7,-0.530064302397043,-2.1132714877055965,-0.530064302397043,1.0,0.290334385449417,2489.8149353617846,2.236763614401775,0.08070353329177449
2236,19,4.0,6.0,2.0,Neutrophil,0.6961094714237732,0.6961094714237732,3,3,0.2666666666666667,,0.7506372650930719,15,2,19,-0.7816199711283732,-2.635968877911778,-0.7816199711283732,1.0,0.2963298841301535,1572.6552549475816,2.9006463044267328,0.08894426743042465
2237,6,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,5,2,6,-0.7473201657785983,-2.3017359397497574,-0.7473201657785983,1.0,0.2861593536182574,1374.1743470456233,2.4523339345586894,0.3611391397064197
2239,5,6.0,6.0,0.0,Monocyte,0.7219280948844771,0.7219280948844771,2,2,0.19999999999999996,,0.7219280948844771,5,2,5,-0.375959566591276,-2.1944533196961666,-0.375959566591276,1.0,0.2626495351628339,4007.405320213431,2.1944533196961666,-0.06399170342325392
2240,15,2.0,6.0,4.0,undiff,0.9456603045977547,0.9456603045977547,2,2,0.36363636363636365,,0.836640741938282,11,2,15,-1.5881722120641526,-2.7045785320086524,-1.5881722120641526,1.0,0.3124852291807793,1585.6019359082381,3.0210083473483933,0.24379570054053604
2247,69,2.0,6.0,4.0,undiff,0.6761192994000531,0.6761192994000531,4,4,0.31818181818181823,,0.7064796691627715,44,2,69,-1.183631609679929,-3.964027390089442,-1.183631609679929,1.0,0.3224770529086577,3450.889273366146,4.37430458196695,0.11384172658385029
2248,12,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,10,2,12,-1.0594955054400532,-2.3763932636798217,-1.0594955054400532,1.0,0.2836463403277381,1460.40430455598,2.5547616534323274,0.3586541198888822
